Timestamp: 2025-11-25_22-09-38
Num Classes: 20
SNR_dB: 10
VELOCITY_KMH: 120
FC: 2400000000.0
FS: 20000000.0
Wavelet: db6, Level: 6
Batch: 64, Epochs: 200, LR: 0.0003, WD: 1e-05

Fold1 Epoch1 | TrainAcc=37.83% | ValAcc=46.38% | TrainLoss=1.7848 | ValLoss=1.4650
Fold1 Epoch2 | TrainAcc=53.32% | ValAcc=22.46% | TrainLoss=1.2641 | ValLoss=4.1126
Fold1 Epoch3 | TrainAcc=57.05% | ValAcc=21.20% | TrainLoss=1.1430 | ValLoss=5.9625
Fold1 Epoch4 | TrainAcc=59.23% | ValAcc=45.43% | TrainLoss=1.0802 | ValLoss=1.5578
Fold1 Epoch5 | TrainAcc=60.35% | ValAcc=51.21% | TrainLoss=1.0463 | ValLoss=1.2939
Fold1 Epoch6 | TrainAcc=61.39% | ValAcc=35.71% | TrainLoss=1.0151 | ValLoss=2.0675
Fold1 Epoch7 | TrainAcc=62.22% | ValAcc=44.36% | TrainLoss=0.9944 | ValLoss=1.8418
Fold1 Epoch8 | TrainAcc=63.27% | ValAcc=45.83% | TrainLoss=0.9674 | ValLoss=1.5234
Fold1 Epoch9 | TrainAcc=64.12% | ValAcc=34.60% | TrainLoss=0.9451 | ValLoss=2.4153
Fold1 Epoch10 | TrainAcc=64.90% | ValAcc=58.88% | TrainLoss=0.9253 | ValLoss=1.0965
Fold1 Epoch11 | TrainAcc=66.43% | ValAcc=58.66% | TrainLoss=0.8829 | ValLoss=1.0979
Fold1 Epoch12 | TrainAcc=67.02% | ValAcc=56.50% | TrainLoss=0.8690 | ValLoss=1.2092
Fold1 Epoch13 | TrainAcc=67.42% | ValAcc=53.78% | TrainLoss=0.8625 | ValLoss=1.3575
Fold1 Epoch14 | TrainAcc=67.77% | ValAcc=59.32% | TrainLoss=0.8531 | ValLoss=1.0778
Fold1 Epoch15 | TrainAcc=67.84% | ValAcc=56.42% | TrainLoss=0.8478 | ValLoss=1.2104
Fold1 Epoch16 | TrainAcc=68.14% | ValAcc=60.65% | TrainLoss=0.8397 | ValLoss=1.0521
Fold1 Epoch17 | TrainAcc=68.28% | ValAcc=57.83% | TrainLoss=0.8340 | ValLoss=1.1280
Fold1 Epoch18 | TrainAcc=68.59% | ValAcc=57.59% | TrainLoss=0.8275 | ValLoss=1.1859
Fold1 Epoch19 | TrainAcc=68.69% | ValAcc=60.36% | TrainLoss=0.8219 | ValLoss=1.0742
Fold1 Epoch20 | TrainAcc=69.08% | ValAcc=46.21% | TrainLoss=0.8179 | ValLoss=1.8880
Fold1 Epoch21 | TrainAcc=69.94% | ValAcc=62.28% | TrainLoss=0.7937 | ValLoss=1.0043
Fold1 Epoch22 | TrainAcc=70.08% | ValAcc=62.39% | TrainLoss=0.7905 | ValLoss=0.9869
Fold1 Epoch23 | TrainAcc=70.19% | ValAcc=63.62% | TrainLoss=0.7875 | ValLoss=0.9689
Fold1 Epoch24 | TrainAcc=70.25% | ValAcc=57.64% | TrainLoss=0.7856 | ValLoss=1.2240
Fold1 Epoch25 | TrainAcc=70.37% | ValAcc=56.13% | TrainLoss=0.7851 | ValLoss=1.2863
Fold1 Epoch26 | TrainAcc=70.54% | ValAcc=60.73% | TrainLoss=0.7792 | ValLoss=1.0962
Fold1 Epoch27 | TrainAcc=70.54% | ValAcc=61.18% | TrainLoss=0.7775 | ValLoss=1.0664
