=== Experiment Summary ===
Timestamp: 2025-11-16_18-43-33
Total Classes: 6
SNR: 10 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 17.86% | Val Acc: 24.74%
Epoch 2 | Train Acc: 31.37% | Val Acc: 32.78%
Epoch 3 | Train Acc: 37.72% | Val Acc: 44.13%
Epoch 4 | Train Acc: 44.02% | Val Acc: 48.11%
Epoch 5 | Train Acc: 46.42% | Val Acc: 49.36%
Epoch 6 | Train Acc: 48.64% | Val Acc: 50.91%
Epoch 7 | Train Acc: 49.65% | Val Acc: 51.61%
Epoch 8 | Train Acc: 50.52% | Val Acc: 53.61%
Epoch 9 | Train Acc: 51.82% | Val Acc: 53.10%
Epoch 10 | Train Acc: 52.68% | Val Acc: 55.72%
Epoch 11 | Train Acc: 54.74% | Val Acc: 56.11%
Epoch 12 | Train Acc: 55.45% | Val Acc: 57.30%
Epoch 13 | Train Acc: 56.18% | Val Acc: 57.53%
Epoch 14 | Train Acc: 56.73% | Val Acc: 56.92%
Epoch 15 | Train Acc: 57.47% | Val Acc: 58.55%
Epoch 16 | Train Acc: 57.93% | Val Acc: 60.66%
Epoch 17 | Train Acc: 58.06% | Val Acc: 56.30%
Epoch 18 | Train Acc: 58.75% | Val Acc: 59.51%
Epoch 19 | Train Acc: 58.71% | Val Acc: 60.44%
Epoch 20 | Train Acc: 59.33% | Val Acc: 59.51%
Epoch 21 | Train Acc: 59.92% | Val Acc: 61.68%
Epoch 22 | Train Acc: 60.17% | Val Acc: 61.71%
Epoch 23 | Train Acc: 60.38% | Val Acc: 57.58%
Epoch 24 | Train Acc: 60.36% | Val Acc: 61.30%
Epoch 25 | Train Acc: 60.66% | Val Acc: 62.47%
Epoch 26 | Train Acc: 60.77% | Val Acc: 62.04%
Epoch 27 | Train Acc: 61.01% | Val Acc: 61.97%
Epoch 28 | Train Acc: 60.93% | Val Acc: 61.10%
Epoch 29 | Train Acc: 61.29% | Val Acc: 61.93%
Epoch 30 | Train Acc: 61.27% | Val Acc: 61.53%
Fold 1 Test Accuracy: 54.40%
Epoch 1 | Train Acc: 17.20% | Val Acc: 21.01%
Epoch 2 | Train Acc: 28.75% | Val Acc: 33.58%
Epoch 3 | Train Acc: 33.73% | Val Acc: 36.46%
Epoch 4 | Train Acc: 39.90% | Val Acc: 43.34%
Epoch 5 | Train Acc: 44.16% | Val Acc: 46.82%
Epoch 6 | Train Acc: 46.82% | Val Acc: 48.93%
Epoch 7 | Train Acc: 48.40% | Val Acc: 51.55%
Epoch 8 | Train Acc: 49.91% | Val Acc: 50.57%
Epoch 9 | Train Acc: 50.65% | Val Acc: 51.33%
Epoch 10 | Train Acc: 52.24% | Val Acc: 54.87%
Epoch 11 | Train Acc: 54.13% | Val Acc: 54.25%
Epoch 12 | Train Acc: 54.57% | Val Acc: 54.99%
Epoch 13 | Train Acc: 55.67% | Val Acc: 56.55%
Epoch 14 | Train Acc: 56.30% | Val Acc: 57.11%
Epoch 15 | Train Acc: 56.84% | Val Acc: 54.77%
Epoch 16 | Train Acc: 57.33% | Val Acc: 57.76%
Epoch 17 | Train Acc: 57.75% | Val Acc: 58.51%
Epoch 18 | Train Acc: 58.25% | Val Acc: 56.50%
Epoch 19 | Train Acc: 58.47% | Val Acc: 57.44%
Epoch 20 | Train Acc: 59.01% | Val Acc: 59.49%
Epoch 21 | Train Acc: 59.69% | Val Acc: 57.48%
Epoch 22 | Train Acc: 59.90% | Val Acc: 56.90%
Epoch 23 | Train Acc: 60.03% | Val Acc: 58.46%
Epoch 24 | Train Acc: 60.23% | Val Acc: 57.35%
Epoch 25 | Train Acc: 60.37% | Val Acc: 60.05%
Fold 2 Test Accuracy: 51.91%
Epoch 1 | Train Acc: 18.96% | Val Acc: 26.29%
Epoch 2 | Train Acc: 30.67% | Val Acc: 34.67%
Epoch 3 | Train Acc: 35.29% | Val Acc: 41.06%
Epoch 4 | Train Acc: 41.93% | Val Acc: 45.65%
Epoch 5 | Train Acc: 45.63% | Val Acc: 49.07%
Epoch 6 | Train Acc: 48.63% | Val Acc: 49.53%
Epoch 7 | Train Acc: 50.45% | Val Acc: 54.42%
Epoch 8 | Train Acc: 51.62% | Val Acc: 53.67%
Epoch 9 | Train Acc: 53.02% | Val Acc: 55.21%
Epoch 10 | Train Acc: 54.08% | Val Acc: 56.00%
Epoch 11 | Train Acc: 56.12% | Val Acc: 58.87%
Epoch 12 | Train Acc: 56.93% | Val Acc: 58.89%
Epoch 13 | Train Acc: 57.53% | Val Acc: 59.28%
Epoch 14 | Train Acc: 58.26% | Val Acc: 59.78%
Epoch 15 | Train Acc: 58.62% | Val Acc: 60.89%
Epoch 16 | Train Acc: 59.51% | Val Acc: 61.62%
Epoch 17 | Train Acc: 59.91% | Val Acc: 63.99%
Epoch 18 | Train Acc: 60.80% | Val Acc: 64.57%
Epoch 19 | Train Acc: 61.65% | Val Acc: 64.59%
Epoch 20 | Train Acc: 62.40% | Val Acc: 65.17%
Epoch 21 | Train Acc: 63.94% | Val Acc: 65.96%
Epoch 22 | Train Acc: 64.63% | Val Acc: 68.12%
Epoch 23 | Train Acc: 65.10% | Val Acc: 68.28%
Epoch 24 | Train Acc: 65.57% | Val Acc: 68.94%
Epoch 25 | Train Acc: 66.11% | Val Acc: 68.46%
Epoch 26 | Train Acc: 66.63% | Val Acc: 70.04%
Epoch 27 | Train Acc: 67.02% | Val Acc: 70.85%
Epoch 28 | Train Acc: 67.43% | Val Acc: 71.59%
Epoch 29 | Train Acc: 68.16% | Val Acc: 72.37%
Epoch 30 | Train Acc: 68.20% | Val Acc: 71.79%
Epoch 31 | Train Acc: 69.37% | Val Acc: 72.88%
Epoch 32 | Train Acc: 69.49% | Val Acc: 72.98%
Epoch 33 | Train Acc: 69.73% | Val Acc: 72.88%
Epoch 34 | Train Acc: 69.69% | Val Acc: 73.37%
Epoch 35 | Train Acc: 70.08% | Val Acc: 74.22%
Epoch 36 | Train Acc: 70.32% | Val Acc: 74.00%
Epoch 37 | Train Acc: 70.30% | Val Acc: 73.84%
Epoch 38 | Train Acc: 70.68% | Val Acc: 74.02%
Epoch 39 | Train Acc: 70.74% | Val Acc: 74.72%
Epoch 40 | Train Acc: 70.88% | Val Acc: 74.14%
Epoch 41 | Train Acc: 71.33% | Val Acc: 74.36%
Epoch 42 | Train Acc: 71.46% | Val Acc: 74.51%
Epoch 43 | Train Acc: 71.66% | Val Acc: 74.98%
Epoch 44 | Train Acc: 71.61% | Val Acc: 75.25%
Epoch 45 | Train Acc: 71.73% | Val Acc: 74.96%
Epoch 46 | Train Acc: 71.75% | Val Acc: 75.19%
Epoch 47 | Train Acc: 71.82% | Val Acc: 74.98%
Epoch 48 | Train Acc: 71.91% | Val Acc: 75.36%
Epoch 49 | Train Acc: 71.98% | Val Acc: 74.84%
Epoch 50 | Train Acc: 72.16% | Val Acc: 74.99%
Epoch 51 | Train Acc: 72.35% | Val Acc: 75.57%
Epoch 52 | Train Acc: 72.39% | Val Acc: 75.88%
Epoch 53 | Train Acc: 72.24% | Val Acc: 75.13%
Epoch 54 | Train Acc: 72.18% | Val Acc: 75.52%
Epoch 55 | Train Acc: 72.39% | Val Acc: 75.66%
Epoch 56 | Train Acc: 72.38% | Val Acc: 75.41%
Epoch 57 | Train Acc: 72.58% | Val Acc: 75.85%
Epoch 58 | Train Acc: 72.53% | Val Acc: 75.69%
Epoch 59 | Train Acc: 72.39% | Val Acc: 75.47%
Epoch 60 | Train Acc: 72.61% | Val Acc: 75.93%
Epoch 61 | Train Acc: 72.75% | Val Acc: 76.03%
Epoch 62 | Train Acc: 72.73% | Val Acc: 75.97%
Epoch 63 | Train Acc: 72.67% | Val Acc: 76.00%
Epoch 64 | Train Acc: 72.66% | Val Acc: 75.73%
Epoch 65 | Train Acc: 72.88% | Val Acc: 76.09%
Epoch 66 | Train Acc: 72.69% | Val Acc: 76.06%
Epoch 67 | Train Acc: 72.89% | Val Acc: 76.02%
Epoch 68 | Train Acc: 72.81% | Val Acc: 76.12%
Epoch 69 | Train Acc: 72.91% | Val Acc: 76.20%
Epoch 70 | Train Acc: 72.98% | Val Acc: 76.17%
Epoch 71 | Train Acc: 72.73% | Val Acc: 76.09%
Epoch 72 | Train Acc: 72.83% | Val Acc: 76.04%
Epoch 73 | Train Acc: 72.92% | Val Acc: 76.16%
Epoch 74 | Train Acc: 72.89% | Val Acc: 76.01%
Epoch 75 | Train Acc: 72.81% | Val Acc: 76.17%
Epoch 76 | Train Acc: 72.97% | Val Acc: 76.22%
Epoch 77 | Train Acc: 73.02% | Val Acc: 76.19%
Epoch 78 | Train Acc: 72.92% | Val Acc: 76.24%
Epoch 79 | Train Acc: 72.92% | Val Acc: 76.15%
Epoch 80 | Train Acc: 72.99% | Val Acc: 76.20%
Epoch 81 | Train Acc: 73.17% | Val Acc: 76.14%
Epoch 82 | Train Acc: 72.95% | Val Acc: 76.14%
Epoch 83 | Train Acc: 72.98% | Val Acc: 76.26%
Epoch 84 | Train Acc: 73.11% | Val Acc: 76.25%
Epoch 85 | Train Acc: 73.07% | Val Acc: 76.23%
Epoch 86 | Train Acc: 73.06% | Val Acc: 76.23%
Epoch 87 | Train Acc: 72.98% | Val Acc: 76.26%
Epoch 88 | Train Acc: 73.01% | Val Acc: 76.32%
Epoch 89 | Train Acc: 73.06% | Val Acc: 76.33%
Epoch 90 | Train Acc: 73.08% | Val Acc: 76.17%
Epoch 91 | Train Acc: 73.07% | Val Acc: 76.27%
Epoch 92 | Train Acc: 73.03% | Val Acc: 76.26%
Epoch 93 | Train Acc: 73.16% | Val Acc: 76.27%
Epoch 94 | Train Acc: 73.02% | Val Acc: 76.29%
Fold 3 Test Accuracy: 65.17%
Epoch 1 | Train Acc: 16.83% | Val Acc: 16.71%
Epoch 2 | Train Acc: 27.99% | Val Acc: 32.39%
Epoch 3 | Train Acc: 34.29% | Val Acc: 38.94%
