=== Experiment Summary ===
Timestamp: 2025-08-20_14-02-21
Total Classes: 6
SNR: 10 dB
fd (Doppler shift): 960.0 Hz
equalized: 0
Epoch 70 | Train Acc: 70.69% | Val Acc: 74.11%
Epoch 71 | Train Acc: 70.91% | Val Acc: 74.02%
Epoch 72 | Train Acc: 70.95% | Val Acc: 73.98%
Epoch 73 | Train Acc: 70.93% | Val Acc: 74.17%
Epoch 74 | Train Acc: 70.91% | Val Acc: 74.06%
Epoch 75 | Train Acc: 70.90% | Val Acc: 74.22%
Epoch 76 | Train Acc: 70.81% | Val Acc: 74.18%
Epoch 77 | Train Acc: 70.80% | Val Acc: 74.20%
Epoch 78 | Train Acc: 70.98% | Val Acc: 74.13%
Epoch 79 | Train Acc: 70.92% | Val Acc: 74.14%
Epoch 80 | Train Acc: 70.98% | Val Acc: 74.17%
Epoch 81 | Train Acc: 71.13% | Val Acc: 74.24%
Epoch 82 | Train Acc: 71.02% | Val Acc: 74.24%
Epoch 83 | Train Acc: 70.92% | Val Acc: 74.17%
Epoch 84 | Train Acc: 71.02% | Val Acc: 74.23%
Epoch 85 | Train Acc: 71.19% | Val Acc: 74.23%
Epoch 86 | Train Acc: 71.10% | Val Acc: 74.22%
Epoch 87 | Train Acc: 70.93% | Val Acc: 74.29%
Epoch 88 | Train Acc: 71.05% | Val Acc: 74.16%
Epoch 89 | Train Acc: 70.95% | Val Acc: 74.34%
Epoch 90 | Train Acc: 70.90% | Val Acc: 74.34%
Epoch 91 | Train Acc: 71.06% | Val Acc: 74.30%
Epoch 92 | Train Acc: 71.06% | Val Acc: 74.31%
Epoch 93 | Train Acc: 71.04% | Val Acc: 74.34%
Epoch 94 | Train Acc: 71.18% | Val Acc: 74.31%
Epoch 95 | Train Acc: 71.02% | Val Acc: 74.40%
Epoch 96 | Train Acc: 71.10% | Val Acc: 74.35%
Epoch 97 | Train Acc: 70.98% | Val Acc: 74.28%
Epoch 98 | Train Acc: 71.17% | Val Acc: 74.37%
Epoch 99 | Train Acc: 70.96% | Val Acc: 74.29%
Epoch 100 | Train Acc: 71.08% | Val Acc: 74.34%
Fold 2 Test Accuracy: 64.94%
Epoch 1 | Train Acc: 20.43% | Val Acc: 26.29%
Epoch 2 | Train Acc: 31.45% | Val Acc: 33.98%
Epoch 3 | Train Acc: 36.60% | Val Acc: 40.03%
Epoch 4 | Train Acc: 41.10% | Val Acc: 44.77%
Epoch 5 | Train Acc: 44.41% | Val Acc: 48.36%
Epoch 6 | Train Acc: 46.28% | Val Acc: 48.15%
Epoch 7 | Train Acc: 48.13% | Val Acc: 49.03%
Epoch 8 | Train Acc: 49.34% | Val Acc: 50.12%
Epoch 9 | Train Acc: 50.46% | Val Acc: 53.79%
Epoch 10 | Train Acc: 51.30% | Val Acc: 53.75%
Epoch 11 | Train Acc: 53.16% | Val Acc: 53.73%
Epoch 12 | Train Acc: 53.46% | Val Acc: 53.20%
Epoch 13 | Train Acc: 54.16% | Val Acc: 50.68%
Epoch 14 | Train Acc: 54.81% | Val Acc: 54.06%
Epoch 15 | Train Acc: 55.35% | Val Acc: 54.58%
Epoch 16 | Train Acc: 55.64% | Val Acc: 55.65%
Epoch 17 | Train Acc: 56.26% | Val Acc: 56.89%
Epoch 18 | Train Acc: 56.67% | Val Acc: 53.02%
Epoch 19 | Train Acc: 57.06% | Val Acc: 55.22%
Epoch 20 | Train Acc: 57.45% | Val Acc: 54.56%
Epoch 21 | Train Acc: 58.31% | Val Acc: 54.57%
Epoch 22 | Train Acc: 58.47% | Val Acc: 56.45%
Fold 3 Test Accuracy: 50.21%
Epoch 1 | Train Acc: 19.25% | Val Acc: 26.72%
Epoch 2 | Train Acc: 32.02% | Val Acc: 35.82%
Epoch 3 | Train Acc: 37.95% | Val Acc: 43.24%
Epoch 4 | Train Acc: 42.60% | Val Acc: 46.49%
Epoch 5 | Train Acc: 45.41% | Val Acc: 48.59%
Epoch 6 | Train Acc: 47.43% | Val Acc: 50.42%
Epoch 7 | Train Acc: 48.82% | Val Acc: 51.52%
Epoch 8 | Train Acc: 50.12% | Val Acc: 53.69%
Epoch 9 | Train Acc: 51.21% | Val Acc: 51.16%
Epoch 10 | Train Acc: 52.16% | Val Acc: 55.79%
Epoch 11 | Train Acc: 54.22% | Val Acc: 56.68%
Epoch 12 | Train Acc: 54.64% | Val Acc: 57.39%
Epoch 13 | Train Acc: 55.18% | Val Acc: 57.95%
Epoch 14 | Train Acc: 55.94% | Val Acc: 58.53%
Epoch 15 | Train Acc: 56.41% | Val Acc: 59.94%
Epoch 16 | Train Acc: 56.82% | Val Acc: 58.36%
Epoch 17 | Train Acc: 57.21% | Val Acc: 58.71%
Epoch 18 | Train Acc: 57.67% | Val Acc: 59.56%
Epoch 19 | Train Acc: 57.96% | Val Acc: 60.05%
Epoch 20 | Train Acc: 58.54% | Val Acc: 60.11%
Epoch 21 | Train Acc: 59.33% | Val Acc: 61.95%
Epoch 22 | Train Acc: 59.55% | Val Acc: 62.54%
Epoch 23 | Train Acc: 59.98% | Val Acc: 62.94%
Epoch 24 | Train Acc: 60.18% | Val Acc: 63.54%
Epoch 25 | Train Acc: 60.52% | Val Acc: 62.13%
Epoch 26 | Train Acc: 60.88% | Val Acc: 64.34%
Epoch 27 | Train Acc: 61.36% | Val Acc: 64.12%
Epoch 28 | Train Acc: 62.04% | Val Acc: 65.02%
Epoch 29 | Train Acc: 62.53% | Val Acc: 65.74%
Epoch 30 | Train Acc: 63.00% | Val Acc: 63.57%
Epoch 31 | Train Acc: 63.64% | Val Acc: 67.16%
Epoch 32 | Train Acc: 63.93% | Val Acc: 66.66%
Epoch 33 | Train Acc: 64.22% | Val Acc: 66.78%
Epoch 34 | Train Acc: 64.24% | Val Acc: 66.37%
Epoch 35 | Train Acc: 64.50% | Val Acc: 66.75%
Epoch 36 | Train Acc: 64.64% | Val Acc: 67.04%
Epoch 37 | Train Acc: 64.86% | Val Acc: 67.62%
Epoch 38 | Train Acc: 64.81% | Val Acc: 67.80%
Epoch 39 | Train Acc: 64.97% | Val Acc: 68.09%
Epoch 40 | Train Acc: 65.14% | Val Acc: 67.84%
Epoch 41 | Train Acc: 65.42% | Val Acc: 68.50%
Epoch 42 | Train Acc: 65.59% | Val Acc: 68.68%
Epoch 43 | Train Acc: 65.57% | Val Acc: 68.46%
Epoch 44 | Train Acc: 65.73% | Val Acc: 68.38%
Epoch 45 | Train Acc: 65.70% | Val Acc: 68.16%
Epoch 46 | Train Acc: 65.70% | Val Acc: 68.84%
Epoch 47 | Train Acc: 65.82% | Val Acc: 68.55%
Epoch 48 | Train Acc: 65.78% | Val Acc: 68.44%
Epoch 49 | Train Acc: 65.94% | Val Acc: 68.92%
Epoch 50 | Train Acc: 65.96% | Val Acc: 68.76%
Epoch 51 | Train Acc: 66.21% | Val Acc: 69.10%
Epoch 52 | Train Acc: 66.27% | Val Acc: 68.73%
Epoch 53 | Train Acc: 66.15% | Val Acc: 68.78%
Epoch 54 | Train Acc: 66.42% | Val Acc: 69.14%
Epoch 55 | Train Acc: 66.39% | Val Acc: 68.94%
Epoch 56 | Train Acc: 66.25% | Val Acc: 69.10%
Epoch 57 | Train Acc: 66.12% | Val Acc: 69.09%
