Trial 26: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.575528560830861, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 27: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.872685185185185, 'val_acc': 9.075762484380062, 'test_acc': 8.760367298578199}
Trial 28: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.591756305637983, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 29: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.584801557863502, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 30: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.107566765578635, 'val_acc': 9.408987828018697, 'test_acc': 9.13433056872038}
Trial 31: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 32: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.590597181008903, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 33: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 66.7511574074074, 'val_acc': 17.017633174434213, 'test_acc': 17.417061611374407}
Trial 34: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 96.66635756676558, 'val_acc': 24.06164668857315, 'test_acc': 24.078050947867297}
Trial 35: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.57784681008902, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 36: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.193341988130564, 'val_acc': 9.04799370574351, 'test_acc': 8.93438981042654}
Trial 37: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 80.3425925925926, 'val_acc': 23.214698940158282, 'test_acc': 23.50784952606635}
