=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-11-15_16-54-49
Total Classes: 20
SNR: -5 dB
fd (Doppler shift): 266.6666666666667 Hz
Epoch 1 | Train Loss: 3.0187 | Train Acc: 7.50% | Val Loss: 2.9732 | Val Acc: 9.10%
Epoch 2 | Train Loss: 2.9959 | Train Acc: 8.13% | Val Loss: 2.9624 | Val Acc: 9.10%
Epoch 3 | Train Loss: 2.9861 | Train Acc: 8.39% | Val Loss: 2.9619 | Val Acc: 9.10%
Epoch 4 | Train Loss: 2.9782 | Train Acc: 8.62% | Val Loss: 2.9633 | Val Acc: 9.10%
Epoch 5 | Train Loss: 2.9747 | Train Acc: 8.88% | Val Loss: 2.9608 | Val Acc: 9.10%
Epoch 6 | Train Loss: 2.9683 | Train Acc: 9.22% | Val Loss: 2.9630 | Val Acc: 9.10%
Epoch 7 | Train Loss: 2.9668 | Train Acc: 9.30% | Val Loss: 2.9593 | Val Acc: 9.10%
Epoch 8 | Train Loss: 2.9631 | Train Acc: 9.43% | Val Loss: 2.9601 | Val Acc: 9.10%
Epoch 9 | Train Loss: 2.9571 | Train Acc: 9.42% | Val Loss: 2.9469 | Val Acc: 9.45%
Epoch 10 | Train Loss: 2.8002 | Train Acc: 15.61% | Val Loss: 2.4414 | Val Acc: 28.95%
Epoch 11 | Train Loss: 2.0927 | Train Acc: 40.06% | Val Loss: 1.8716 | Val Acc: 47.13%
Epoch 12 | Train Loss: 1.6512 | Train Acc: 53.24% | Val Loss: 1.5923 | Val Acc: 55.36%
Epoch 13 | Train Loss: 1.3768 | Train Acc: 60.69% | Val Loss: 1.4500 | Val Acc: 59.29%
Epoch 14 | Train Loss: 1.1835 | Train Acc: 66.17% | Val Loss: 1.3566 | Val Acc: 62.27%
Epoch 15 | Train Loss: 1.0379 | Train Acc: 70.01% | Val Loss: 1.2786 | Val Acc: 64.28%
Epoch 16 | Train Loss: 0.9180 | Train Acc: 73.26% | Val Loss: 1.2364 | Val Acc: 65.56%
Epoch 17 | Train Loss: 0.8165 | Train Acc: 76.07% | Val Loss: 1.1971 | Val Acc: 66.88%
Epoch 18 | Train Loss: 0.7282 | Train Acc: 78.53% | Val Loss: 1.1748 | Val Acc: 67.78%
Epoch 19 | Train Loss: 0.6529 | Train Acc: 80.54% | Val Loss: 1.1624 | Val Acc: 68.56%
Epoch 20 | Train Loss: 0.5891 | Train Acc: 82.32% | Val Loss: 1.1470 | Val Acc: 69.20%
Epoch 21 | Train Loss: 0.5050 | Train Acc: 84.87% | Val Loss: 1.1340 | Val Acc: 69.75%
Epoch 22 | Train Loss: 0.4754 | Train Acc: 85.88% | Val Loss: 1.1266 | Val Acc: 69.98%
Epoch 23 | Train Loss: 0.4451 | Train Acc: 86.61% | Val Loss: 1.1287 | Val Acc: 70.30%
Epoch 24 | Train Loss: 0.4156 | Train Acc: 87.37% | Val Loss: 1.1261 | Val Acc: 70.56%
Epoch 25 | Train Loss: 0.3920 | Train Acc: 88.04% | Val Loss: 1.1326 | Val Acc: 70.50%
Epoch 26 | Train Loss: 0.3708 | Train Acc: 88.73% | Val Loss: 1.1263 | Val Acc: 70.93%
Epoch 27 | Train Loss: 0.3522 | Train Acc: 89.24% | Val Loss: 1.1294 | Val Acc: 70.99%
Epoch 28 | Train Loss: 0.3292 | Train Acc: 89.81% | Val Loss: 1.1320 | Val Acc: 71.01%
Epoch 29 | Train Loss: 0.3116 | Train Acc: 90.34% | Val Loss: 1.1357 | Val Acc: 71.29%
Epoch 1 | Train Loss: 3.0215 | Train Acc: 7.45% | Val Loss: 2.9575 | Val Acc: 9.86%
Epoch 2 | Train Loss: 2.9974 | Train Acc: 7.76% | Val Loss: 2.9585 | Val Acc: 9.86%
Epoch 3 | Train Loss: 2.9857 | Train Acc: 8.28% | Val Loss: 2.9581 | Val Acc: 9.86%
Epoch 4 | Train Loss: 2.9778 | Train Acc: 8.60% | Val Loss: 2.9555 | Val Acc: 9.86%
Epoch 5 | Train Loss: 2.9730 | Train Acc: 8.69% | Val Loss: 2.9561 | Val Acc: 9.86%
Epoch 6 | Train Loss: 2.9690 | Train Acc: 8.96% | Val Loss: 2.9553 | Val Acc: 9.86%
Epoch 7 | Train Loss: 2.9652 | Train Acc: 9.13% | Val Loss: 2.9545 | Val Acc: 9.86%
Epoch 8 | Train Loss: 2.9637 | Train Acc: 9.17% | Val Loss: 2.9547 | Val Acc: 9.86%
Epoch 9 | Train Loss: 2.9577 | Train Acc: 9.15% | Val Loss: 2.9425 | Val Acc: 9.99%
Epoch 10 | Train Loss: 2.8218 | Train Acc: 14.73% | Val Loss: 2.4200 | Val Acc: 30.55%
Epoch 11 | Train Loss: 2.0887 | Train Acc: 40.40% | Val Loss: 1.8193 | Val Acc: 48.83%
Epoch 12 | Train Loss: 1.6365 | Train Acc: 53.68% | Val Loss: 1.5450 | Val Acc: 56.62%
Epoch 13 | Train Loss: 1.3613 | Train Acc: 61.14% | Val Loss: 1.3944 | Val Acc: 61.23%
Epoch 14 | Train Loss: 1.1708 | Train Acc: 66.42% | Val Loss: 1.2990 | Val Acc: 63.84%
Epoch 15 | Train Loss: 1.0241 | Train Acc: 70.53% | Val Loss: 1.2352 | Val Acc: 65.76%
Epoch 16 | Train Loss: 0.9030 | Train Acc: 73.88% | Val Loss: 1.1777 | Val Acc: 67.25%
Epoch 17 | Train Loss: 0.8002 | Train Acc: 76.73% | Val Loss: 1.1450 | Val Acc: 68.42%
Epoch 18 | Train Loss: 0.7172 | Train Acc: 78.87% | Val Loss: 1.1226 | Val Acc: 69.15%
Epoch 19 | Train Loss: 0.6478 | Train Acc: 80.77% | Val Loss: 1.1044 | Val Acc: 69.95%
Epoch 20 | Train Loss: 0.5810 | Train Acc: 82.62% | Val Loss: 1.0892 | Val Acc: 70.53%
Epoch 21 | Train Loss: 0.4984 | Train Acc: 85.19% | Val Loss: 1.0814 | Val Acc: 71.19%
Epoch 22 | Train Loss: 0.4626 | Train Acc: 86.18% | Val Loss: 1.0762 | Val Acc: 71.35%
Epoch 23 | Train Loss: 0.4362 | Train Acc: 86.94% | Val Loss: 1.0758 | Val Acc: 71.51%
Epoch 24 | Train Loss: 0.4110 | Train Acc: 87.52% | Val Loss: 1.0769 | Val Acc: 71.60%
Epoch 25 | Train Loss: 0.3851 | Train Acc: 88.23% | Val Loss: 1.0757 | Val Acc: 71.81%
Epoch 26 | Train Loss: 0.3595 | Train Acc: 89.06% | Val Loss: 1.0806 | Val Acc: 72.21%
Epoch 27 | Train Loss: 0.3435 | Train Acc: 89.50% | Val Loss: 1.0789 | Val Acc: 72.32%
Epoch 28 | Train Loss: 0.3238 | Train Acc: 90.06% | Val Loss: 1.0773 | Val Acc: 72.43%
Epoch 29 | Train Loss: 0.3046 | Train Acc: 90.65% | Val Loss: 1.0783 | Val Acc: 72.47%
Epoch 30 | Train Loss: 0.2944 | Train Acc: 90.89% | Val Loss: 1.0783 | Val Acc: 72.47%
Epoch 1 | Train Loss: 3.0172 | Train Acc: 7.46% | Val Loss: 2.9686 | Val Acc: 9.30%
Epoch 2 | Train Loss: 2.9954 | Train Acc: 8.00% | Val Loss: 2.9641 | Val Acc: 9.30%
Epoch 3 | Train Loss: 2.9833 | Train Acc: 8.42% | Val Loss: 2.9620 | Val Acc: 9.30%
Epoch 4 | Train Loss: 2.9744 | Train Acc: 8.89% | Val Loss: 2.9601 | Val Acc: 9.30%
Epoch 5 | Train Loss: 2.9688 | Train Acc: 8.98% | Val Loss: 2.9605 | Val Acc: 9.30%
Epoch 6 | Train Loss: 2.9650 | Train Acc: 9.23% | Val Loss: 2.9593 | Val Acc: 9.30%
Epoch 7 | Train Loss: 2.9633 | Train Acc: 9.32% | Val Loss: 2.9602 | Val Acc: 9.30%
