=== Experiment Summary ===
Timestamp: 2025-11-16_14-07-47
Total Classes: 6
SNR: 0 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 24.56% | Val Acc: 32.95%
Epoch 2 | Train Acc: 33.57% | Val Acc: 37.20%
Epoch 3 | Train Acc: 35.78% | Val Acc: 36.33%
Epoch 4 | Train Acc: 36.71% | Val Acc: 35.37%
Epoch 5 | Train Acc: 37.83% | Val Acc: 39.27%
Epoch 6 | Train Acc: 38.76% | Val Acc: 40.51%
Epoch 7 | Train Acc: 38.98% | Val Acc: 39.58%
Epoch 8 | Train Acc: 39.26% | Val Acc: 40.14%
Epoch 9 | Train Acc: 39.59% | Val Acc: 40.34%
Epoch 10 | Train Acc: 39.70% | Val Acc: 40.13%
Epoch 11 | Train Acc: 40.08% | Val Acc: 40.26%
Epoch 12 | Train Acc: 40.31% | Val Acc: 40.39%
Epoch 13 | Train Acc: 40.16% | Val Acc: 40.76%
Epoch 14 | Train Acc: 40.35% | Val Acc: 40.68%
Epoch 15 | Train Acc: 40.42% | Val Acc: 40.29%
Epoch 16 | Train Acc: 40.56% | Val Acc: 41.11%
Epoch 17 | Train Acc: 40.45% | Val Acc: 41.15%
Epoch 18 | Train Acc: 40.74% | Val Acc: 40.97%
Epoch 19 | Train Acc: 40.71% | Val Acc: 41.53%
Epoch 20 | Train Acc: 40.75% | Val Acc: 41.05%
Epoch 21 | Train Acc: 41.04% | Val Acc: 41.87%
Epoch 22 | Train Acc: 40.99% | Val Acc: 41.93%
Epoch 23 | Train Acc: 41.02% | Val Acc: 41.45%
Epoch 24 | Train Acc: 41.24% | Val Acc: 41.31%
Epoch 25 | Train Acc: 41.15% | Val Acc: 42.40%
Epoch 26 | Train Acc: 41.24% | Val Acc: 41.70%
Epoch 27 | Train Acc: 41.35% | Val Acc: 42.10%
Epoch 28 | Train Acc: 41.35% | Val Acc: 41.98%
Epoch 29 | Train Acc: 41.34% | Val Acc: 41.98%
Epoch 30 | Train Acc: 41.42% | Val Acc: 42.48%
Epoch 31 | Train Acc: 41.52% | Val Acc: 42.10%
Epoch 32 | Train Acc: 41.58% | Val Acc: 42.19%
Epoch 33 | Train Acc: 41.55% | Val Acc: 41.81%
Epoch 34 | Train Acc: 41.51% | Val Acc: 41.56%
Epoch 35 | Train Acc: 41.52% | Val Acc: 42.40%
Epoch 36 | Train Acc: 41.71% | Val Acc: 42.13%
Epoch 37 | Train Acc: 41.60% | Val Acc: 41.89%
Epoch 38 | Train Acc: 41.66% | Val Acc: 42.46%
Epoch 39 | Train Acc: 41.66% | Val Acc: 42.19%
Epoch 40 | Train Acc: 41.81% | Val Acc: 42.08%
Fold 1 Test Accuracy: 40.73%
Epoch 1 | Train Acc: 24.64% | Val Acc: 32.24%
Epoch 2 | Train Acc: 32.88% | Val Acc: 35.50%
Epoch 3 | Train Acc: 35.77% | Val Acc: 37.05%
Epoch 4 | Train Acc: 36.62% | Val Acc: 36.77%
Epoch 5 | Train Acc: 37.51% | Val Acc: 38.96%
Epoch 6 | Train Acc: 38.55% | Val Acc: 39.55%
Epoch 7 | Train Acc: 38.91% | Val Acc: 39.31%
Epoch 8 | Train Acc: 39.38% | Val Acc: 39.50%
Epoch 9 | Train Acc: 39.51% | Val Acc: 40.88%
Epoch 10 | Train Acc: 39.66% | Val Acc: 39.93%
Epoch 11 | Train Acc: 40.16% | Val Acc: 40.44%
Epoch 12 | Train Acc: 40.35% | Val Acc: 41.14%
Epoch 13 | Train Acc: 40.30% | Val Acc: 40.50%
Epoch 14 | Train Acc: 40.51% | Val Acc: 39.72%
Epoch 15 | Train Acc: 40.68% | Val Acc: 40.76%
Epoch 16 | Train Acc: 40.63% | Val Acc: 41.31%
Epoch 17 | Train Acc: 40.77% | Val Acc: 39.82%
Epoch 18 | Train Acc: 40.86% | Val Acc: 41.51%
Epoch 19 | Train Acc: 41.07% | Val Acc: 41.21%
Epoch 20 | Train Acc: 41.13% | Val Acc: 40.85%
Epoch 21 | Train Acc: 41.33% | Val Acc: 42.04%
Epoch 22 | Train Acc: 41.31% | Val Acc: 41.42%
Epoch 23 | Train Acc: 41.42% | Val Acc: 42.02%
Epoch 24 | Train Acc: 41.45% | Val Acc: 41.84%
Epoch 25 | Train Acc: 41.58% | Val Acc: 42.16%
Epoch 26 | Train Acc: 41.49% | Val Acc: 41.62%
Epoch 27 | Train Acc: 41.46% | Val Acc: 42.72%
Epoch 28 | Train Acc: 41.61% | Val Acc: 42.62%
Epoch 29 | Train Acc: 41.56% | Val Acc: 42.71%
Epoch 30 | Train Acc: 41.62% | Val Acc: 41.54%
Epoch 31 | Train Acc: 41.90% | Val Acc: 42.21%
Epoch 32 | Train Acc: 41.91% | Val Acc: 42.46%
Fold 2 Test Accuracy: 42.32%
Epoch 1 | Train Acc: 23.17% | Val Acc: 31.92%
Epoch 2 | Train Acc: 32.90% | Val Acc: 36.04%
Epoch 3 | Train Acc: 35.73% | Val Acc: 37.83%
Epoch 4 | Train Acc: 36.68% | Val Acc: 37.74%
Epoch 5 | Train Acc: 37.75% | Val Acc: 38.05%
Epoch 6 | Train Acc: 38.52% | Val Acc: 40.14%
Epoch 7 | Train Acc: 39.16% | Val Acc: 38.99%
Epoch 8 | Train Acc: 39.42% | Val Acc: 39.60%
Epoch 9 | Train Acc: 39.50% | Val Acc: 40.17%
Epoch 10 | Train Acc: 39.71% | Val Acc: 40.00%
Epoch 11 | Train Acc: 40.09% | Val Acc: 39.63%
Epoch 12 | Train Acc: 40.16% | Val Acc: 38.93%
Epoch 13 | Train Acc: 40.29% | Val Acc: 40.89%
Epoch 14 | Train Acc: 40.47% | Val Acc: 40.81%
Epoch 15 | Train Acc: 40.35% | Val Acc: 41.40%
Epoch 16 | Train Acc: 40.55% | Val Acc: 41.53%
Epoch 17 | Train Acc: 40.52% | Val Acc: 40.99%
Epoch 18 | Train Acc: 40.66% | Val Acc: 41.00%
Epoch 19 | Train Acc: 40.69% | Val Acc: 40.61%
Epoch 20 | Train Acc: 40.63% | Val Acc: 41.44%
Epoch 21 | Train Acc: 41.04% | Val Acc: 41.18%
Epoch 22 | Train Acc: 41.07% | Val Acc: 41.62%
Epoch 23 | Train Acc: 41.04% | Val Acc: 41.73%
Epoch 24 | Train Acc: 41.13% | Val Acc: 41.55%
Epoch 25 | Train Acc: 41.14% | Val Acc: 41.76%
Epoch 26 | Train Acc: 41.21% | Val Acc: 41.74%
Epoch 27 | Train Acc: 41.23% | Val Acc: 41.71%
Epoch 28 | Train Acc: 41.16% | Val Acc: 41.93%
Epoch 29 | Train Acc: 41.12% | Val Acc: 41.33%
Epoch 30 | Train Acc: 41.24% | Val Acc: 41.91%
Epoch 31 | Train Acc: 41.48% | Val Acc: 41.94%
Epoch 32 | Train Acc: 41.43% | Val Acc: 42.24%
Epoch 33 | Train Acc: 41.49% | Val Acc: 41.99%
