=== Experiment Summary ===
Timestamp: 2025-11-20_09-26-58
Total Classes: 6
SNR: 20 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0 
Epoch 1 | Train Acc: 24.23% | Val Acc: 60.17%
Epoch 2 | Train Acc: 63.31% | Val Acc: 65.39%
Epoch 3 | Train Acc: 65.73% | Val Acc: 66.67%
Epoch 4 | Train Acc: 72.14% | Val Acc: 75.36%
Epoch 5 | Train Acc: 78.64% | Val Acc: 81.64%
Epoch 6 | Train Acc: 80.87% | Val Acc: 82.15%
Epoch 7 | Train Acc: 81.59% | Val Acc: 81.76%
Epoch 8 | Train Acc: 82.38% | Val Acc: 83.58%
Epoch 9 | Train Acc: 82.69% | Val Acc: 83.42%
Epoch 10 | Train Acc: 82.97% | Val Acc: 83.97%
Epoch 11 | Train Acc: 83.75% | Val Acc: 84.32%
Epoch 12 | Train Acc: 83.97% | Val Acc: 84.63%
Epoch 13 | Train Acc: 84.11% | Val Acc: 84.77%
Epoch 14 | Train Acc: 84.29% | Val Acc: 85.22%
Epoch 15 | Train Acc: 84.40% | Val Acc: 85.19%
Epoch 16 | Train Acc: 84.63% | Val Acc: 85.23%
Epoch 17 | Train Acc: 84.72% | Val Acc: 85.34%
Epoch 18 | Train Acc: 84.85% | Val Acc: 85.62%
Epoch 19 | Train Acc: 84.94% | Val Acc: 85.44%
Epoch 20 | Train Acc: 85.16% | Val Acc: 86.06%
Epoch 21 | Train Acc: 85.55% | Val Acc: 86.23%
Epoch 22 | Train Acc: 85.69% | Val Acc: 86.20%
Epoch 23 | Train Acc: 85.74% | Val Acc: 86.30%
Epoch 24 | Train Acc: 85.76% | Val Acc: 85.87%
Epoch 25 | Train Acc: 85.84% | Val Acc: 86.17%
Epoch 26 | Train Acc: 85.88% | Val Acc: 86.73%
Epoch 27 | Train Acc: 86.00% | Val Acc: 86.34%
Epoch 28 | Train Acc: 86.12% | Val Acc: 86.74%
Epoch 29 | Train Acc: 86.21% | Val Acc: 86.90%
Epoch 30 | Train Acc: 86.27% | Val Acc: 86.90%
Epoch 31 | Train Acc: 86.44% | Val Acc: 86.60%
Epoch 32 | Train Acc: 86.43% | Val Acc: 87.05%
Epoch 33 | Train Acc: 86.40% | Val Acc: 86.89%
Epoch 34 | Train Acc: 86.51% | Val Acc: 86.79%
Epoch 35 | Train Acc: 86.51% | Val Acc: 86.92%
Epoch 36 | Train Acc: 86.62% | Val Acc: 87.09%
Epoch 37 | Train Acc: 86.64% | Val Acc: 87.12%
Epoch 38 | Train Acc: 86.61% | Val Acc: 87.15%
Epoch 39 | Train Acc: 86.73% | Val Acc: 87.29%
Epoch 40 | Train Acc: 86.73% | Val Acc: 87.37%
Epoch 41 | Train Acc: 86.92% | Val Acc: 87.15%
Epoch 42 | Train Acc: 86.87% | Val Acc: 87.46%
Epoch 43 | Train Acc: 86.89% | Val Acc: 87.29%
Epoch 44 | Train Acc: 86.95% | Val Acc: 87.38%
Epoch 45 | Train Acc: 86.89% | Val Acc: 87.46%
Epoch 46 | Train Acc: 86.93% | Val Acc: 87.42%
Epoch 47 | Train Acc: 87.03% | Val Acc: 87.52%
Epoch 48 | Train Acc: 87.02% | Val Acc: 87.45%
Epoch 49 | Train Acc: 87.02% | Val Acc: 87.45%
Epoch 50 | Train Acc: 87.03% | Val Acc: 87.72%
Epoch 51 | Train Acc: 86.95% | Val Acc: 87.57%
Epoch 52 | Train Acc: 87.14% | Val Acc: 87.67%
Epoch 53 | Train Acc: 87.15% | Val Acc: 87.57%
Epoch 54 | Train Acc: 87.13% | Val Acc: 87.80%
Epoch 55 | Train Acc: 87.14% | Val Acc: 87.60%
Epoch 56 | Train Acc: 87.10% | Val Acc: 87.90%
Epoch 57 | Train Acc: 87.18% | Val Acc: 87.85%
Epoch 58 | Train Acc: 87.12% | Val Acc: 87.56%
Epoch 59 | Train Acc: 87.12% | Val Acc: 87.78%
Epoch 60 | Train Acc: 87.21% | Val Acc: 87.68%
Epoch 61 | Train Acc: 87.23% | Val Acc: 87.79%
Epoch 62 | Train Acc: 87.11% | Val Acc: 87.71%
Epoch 63 | Train Acc: 87.22% | Val Acc: 87.77%
Epoch 64 | Train Acc: 87.24% | Val Acc: 87.64%
Epoch 65 | Train Acc: 87.22% | Val Acc: 87.91%
Fold 1 Test Accuracy: 84.44%
Epoch 1 | Train Acc: 38.03% | Val Acc: 62.17%
Epoch 2 | Train Acc: 64.01% | Val Acc: 64.48%
Epoch 3 | Train Acc: 69.84% | Val Acc: 76.67%
Epoch 4 | Train Acc: 77.40% | Val Acc: 80.40%
Epoch 5 | Train Acc: 80.11% | Val Acc: 82.60%
Epoch 6 | Train Acc: 81.49% | Val Acc: 82.80%
Epoch 7 | Train Acc: 82.37% | Val Acc: 84.39%
Epoch 8 | Train Acc: 82.82% | Val Acc: 83.73%
Epoch 9 | Train Acc: 83.52% | Val Acc: 83.69%
Epoch 10 | Train Acc: 83.94% | Val Acc: 83.30%
Epoch 11 | Train Acc: 84.61% | Val Acc: 85.75%
Epoch 12 | Train Acc: 84.85% | Val Acc: 85.74%
Epoch 13 | Train Acc: 85.00% | Val Acc: 85.38%
Epoch 14 | Train Acc: 85.28% | Val Acc: 86.00%
Epoch 15 | Train Acc: 85.26% | Val Acc: 85.63%
Epoch 16 | Train Acc: 85.42% | Val Acc: 85.35%
Epoch 17 | Train Acc: 85.67% | Val Acc: 86.81%
Epoch 18 | Train Acc: 85.74% | Val Acc: 86.73%
Epoch 19 | Train Acc: 85.85% | Val Acc: 86.99%
Epoch 20 | Train Acc: 85.97% | Val Acc: 86.87%
Epoch 21 | Train Acc: 86.37% | Val Acc: 87.07%
Epoch 22 | Train Acc: 86.44% | Val Acc: 87.29%
Epoch 23 | Train Acc: 86.46% | Val Acc: 86.93%
Epoch 24 | Train Acc: 86.50% | Val Acc: 87.01%
Epoch 25 | Train Acc: 86.54% | Val Acc: 86.76%
Epoch 26 | Train Acc: 86.71% | Val Acc: 87.09%
Epoch 27 | Train Acc: 86.81% | Val Acc: 86.97%
Epoch 28 | Train Acc: 86.74% | Val Acc: 87.65%
