=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-16_16-44-15
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): 960.0 Hz
Epoch 2 | Train Loss: 3.0062 | Train Accuracy: 7.35% | Validation Loss: 2.9579 | Validation Accuracy: 9.39%
Epoch 3 | Train Loss: 2.9983 | Train Accuracy: 7.62% | Validation Loss: 2.9593 | Validation Accuracy: 9.39%
Epoch 4 | Train Loss: 2.9949 | Train Accuracy: 7.74% | Validation Loss: 2.9582 | Validation Accuracy: 9.39%
Epoch 5 | Train Loss: 2.9941 | Train Accuracy: 7.86% | Validation Loss: 2.9587 | Validation Accuracy: 9.39%
Epoch 6 | Train Loss: 2.9900 | Train Accuracy: 7.83% | Validation Loss: 2.9568 | Validation Accuracy: 9.39%
Epoch 7 | Train Loss: 2.9879 | Train Accuracy: 8.05% | Validation Loss: 2.9565 | Validation Accuracy: 9.39%
Epoch 8 | Train Loss: 2.9850 | Train Accuracy: 8.04% | Validation Loss: 2.9562 | Validation Accuracy: 9.39%
Epoch 9 | Train Loss: 2.9829 | Train Accuracy: 8.20% | Validation Loss: 2.9570 | Validation Accuracy: 9.39%
Epoch 10 | Train Loss: 2.9805 | Train Accuracy: 8.17% | Validation Loss: 2.9505 | Validation Accuracy: 9.39%
Epoch 11 | Train Loss: 2.9732 | Train Accuracy: 8.51% | Validation Loss: 2.9366 | Validation Accuracy: 9.51%
Epoch 12 | Train Loss: 2.9649 | Train Accuracy: 8.97% | Validation Loss: 2.9022 | Validation Accuracy: 11.01%
Epoch 13 | Train Loss: 2.9420 | Train Accuracy: 9.99% | Validation Loss: 2.8074 | Validation Accuracy: 14.12%
Epoch 14 | Train Loss: 2.8553 | Train Accuracy: 12.56% | Validation Loss: 2.7083 | Validation Accuracy: 16.08%
Epoch 15 | Train Loss: 2.7392 | Train Accuracy: 14.17% | Validation Loss: 2.6639 | Validation Accuracy: 16.75%
Epoch 16 | Train Loss: 2.6750 | Train Accuracy: 15.31% | Validation Loss: 2.5998 | Validation Accuracy: 17.85%
Epoch 17 | Train Loss: 2.6267 | Train Accuracy: 16.05% | Validation Loss: 2.5478 | Validation Accuracy: 18.32%
Epoch 18 | Train Loss: 2.5900 | Train Accuracy: 16.62% | Validation Loss: 2.5204 | Validation Accuracy: 19.15%
Epoch 19 | Train Loss: 2.5587 | Train Accuracy: 17.33% | Validation Loss: 2.4785 | Validation Accuracy: 19.49%
Epoch 20 | Train Loss: 2.5273 | Train Accuracy: 18.16% | Validation Loss: 2.4534 | Validation Accuracy: 20.07%
Epoch 21 | Train Loss: 2.5004 | Train Accuracy: 18.76% | Validation Loss: 2.4458 | Validation Accuracy: 20.41%
Epoch 22 | Train Loss: 2.4864 | Train Accuracy: 19.06% | Validation Loss: 2.4364 | Validation Accuracy: 20.36%
Epoch 23 | Train Loss: 2.4734 | Train Accuracy: 19.29% | Validation Loss: 2.4246 | Validation Accuracy: 20.90%
Epoch 24 | Train Loss: 2.4609 | Train Accuracy: 19.54% | Validation Loss: 2.4153 | Validation Accuracy: 21.11%
Epoch 25 | Train Loss: 2.4487 | Train Accuracy: 19.85% | Validation Loss: 2.4135 | Validation Accuracy: 21.29%
