=== Experiment Summary ===
Timestamp: 2025-11-28_16-30-07
Total Classes: 6
SNR: 0 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Fold1 Epoch1 | TrainAcc=28.83% | ValAcc=34.49% | TrainLoss=1.6520 | ValLoss=1.6431 | AvgGrad=6.6302
Fold1 Epoch2 | TrainAcc=47.50% | ValAcc=52.22% | TrainLoss=1.2829 | ValLoss=1.1699 | AvgGrad=5.5130
Fold1 Epoch3 | TrainAcc=60.74% | ValAcc=69.76% | TrainLoss=0.9700 | ValLoss=0.7541 | AvgGrad=4.8415
Fold1 Epoch4 | TrainAcc=70.42% | ValAcc=77.78% | TrainLoss=0.7531 | ValLoss=0.5762 | AvgGrad=4.6784
Fold1 Epoch5 | TrainAcc=76.67% | ValAcc=81.99% | TrainLoss=0.6057 | ValLoss=0.4562 | AvgGrad=4.4439
Fold1 Epoch6 | TrainAcc=80.85% | ValAcc=87.01% | TrainLoss=0.5057 | ValLoss=0.3441 | AvgGrad=4.2265
Fold1 Epoch7 | TrainAcc=83.98% | ValAcc=89.04% | TrainLoss=0.4231 | ValLoss=0.2922 | AvgGrad=4.0669
Fold1 Epoch8 | TrainAcc=86.48% | ValAcc=91.83% | TrainLoss=0.3658 | ValLoss=0.2277 | AvgGrad=3.9198
Fold1 Epoch9 | TrainAcc=88.44% | ValAcc=92.22% | TrainLoss=0.3178 | ValLoss=0.2196 | AvgGrad=3.7877
Fold1 Epoch10 | TrainAcc=90.00% | ValAcc=94.31% | TrainLoss=0.2779 | ValLoss=0.1622 | AvgGrad=3.6402
Fold1 Epoch11 | TrainAcc=91.71% | ValAcc=95.22% | TrainLoss=0.2303 | ValLoss=0.1380 | AvgGrad=3.4847
Fold1 Epoch12 | TrainAcc=92.32% | ValAcc=94.64% | TrainLoss=0.2164 | ValLoss=0.1502 | AvgGrad=3.5752
Fold1 Epoch13 | TrainAcc=92.95% | ValAcc=95.72% | TrainLoss=0.2000 | ValLoss=0.1210 | AvgGrad=3.5420
Fold1 Epoch14 | TrainAcc=93.48% | ValAcc=96.03% | TrainLoss=0.1854 | ValLoss=0.1147 | AvgGrad=3.5068
Fold1 Epoch15 | TrainAcc=93.80% | ValAcc=95.86% | TrainLoss=0.1785 | ValLoss=0.1177 | AvgGrad=3.5465
