=== Experiment Summary ===
Timestamp: 2025-11-19_18-32-31
Total Classes: 6
SNR: 20 dB
fd (Doppler shift): 655.5555555555557 Hz
equalized: 0
Epoch 49 | Train Acc: 98.94% | Val Acc: 99.35%
Epoch 50 | Train Acc: 99.00% | Val Acc: 99.33%
Epoch 51 | Train Acc: 99.05% | Val Acc: 99.37%
Epoch 52 | Train Acc: 99.05% | Val Acc: 99.37%
Epoch 53 | Train Acc: 99.02% | Val Acc: 99.37%
Epoch 54 | Train Acc: 99.03% | Val Acc: 99.37%
Epoch 55 | Train Acc: 99.04% | Val Acc: 99.36%
Epoch 56 | Train Acc: 99.03% | Val Acc: 99.37%
Fold 2 Test Accuracy: 86.05%
Epoch 1 | Train Acc: 27.07% | Val Acc: 44.25%
Epoch 2 | Train Acc: 53.73% | Val Acc: 67.76%
Epoch 3 | Train Acc: 68.43% | Val Acc: 74.21%
Epoch 4 | Train Acc: 76.46% | Val Acc: 82.41%
Epoch 5 | Train Acc: 83.08% | Val Acc: 89.59%
Epoch 6 | Train Acc: 87.99% | Val Acc: 91.47%
Epoch 7 | Train Acc: 90.20% | Val Acc: 95.49%
Epoch 8 | Train Acc: 93.30% | Val Acc: 95.60%
Epoch 9 | Train Acc: 93.93% | Val Acc: 97.30%
Epoch 10 | Train Acc: 95.36% | Val Acc: 98.07%
Epoch 11 | Train Acc: 96.64% | Val Acc: 98.44%
Epoch 12 | Train Acc: 96.85% | Val Acc: 98.60%
Epoch 13 | Train Acc: 97.01% | Val Acc: 98.70%
Epoch 14 | Train Acc: 97.13% | Val Acc: 98.67%
Epoch 15 | Train Acc: 97.42% | Val Acc: 97.74%
Epoch 16 | Train Acc: 96.85% | Val Acc: 98.70%
Epoch 17 | Train Acc: 97.85% | Val Acc: 98.48%
Epoch 18 | Train Acc: 97.90% | Val Acc: 97.93%
Epoch 19 | Train Acc: 97.88% | Val Acc: 98.22%
Epoch 20 | Train Acc: 97.92% | Val Acc: 99.11%
Epoch 21 | Train Acc: 98.43% | Val Acc: 99.05%
Epoch 22 | Train Acc: 98.42% | Val Acc: 99.13%
Epoch 23 | Train Acc: 98.48% | Val Acc: 99.00%
Epoch 24 | Train Acc: 98.48% | Val Acc: 99.15%
Epoch 25 | Train Acc: 98.52% | Val Acc: 99.02%
Epoch 26 | Train Acc: 98.48% | Val Acc: 99.13%
Epoch 27 | Train Acc: 98.59% | Val Acc: 99.16%
Epoch 28 | Train Acc: 98.57% | Val Acc: 99.18%
Epoch 29 | Train Acc: 98.67% | Val Acc: 99.18%
Epoch 30 | Train Acc: 98.73% | Val Acc: 99.22%
Epoch 31 | Train Acc: 98.85% | Val Acc: 99.24%
Epoch 32 | Train Acc: 98.83% | Val Acc: 99.18%
Epoch 33 | Train Acc: 98.80% | Val Acc: 99.24%
Epoch 34 | Train Acc: 98.86% | Val Acc: 99.22%
Epoch 35 | Train Acc: 98.88% | Val Acc: 99.27%
Epoch 36 | Train Acc: 98.83% | Val Acc: 99.22%
Epoch 37 | Train Acc: 98.91% | Val Acc: 99.27%
Epoch 38 | Train Acc: 98.88% | Val Acc: 99.13%
Epoch 39 | Train Acc: 98.92% | Val Acc: 99.26%
Epoch 40 | Train Acc: 98.89% | Val Acc: 99.25%
Epoch 41 | Train Acc: 98.98% | Val Acc: 99.26%
Epoch 42 | Train Acc: 98.97% | Val Acc: 99.29%
Epoch 43 | Train Acc: 99.00% | Val Acc: 99.28%
Epoch 44 | Train Acc: 98.97% | Val Acc: 99.30%
Epoch 45 | Train Acc: 99.00% | Val Acc: 99.28%
Epoch 46 | Train Acc: 99.02% | Val Acc: 99.29%
Epoch 47 | Train Acc: 99.00% | Val Acc: 99.29%
Epoch 48 | Train Acc: 99.00% | Val Acc: 99.23%
Epoch 49 | Train Acc: 98.98% | Val Acc: 99.30%
Epoch 50 | Train Acc: 99.00% | Val Acc: 99.28%
Epoch 51 | Train Acc: 99.05% | Val Acc: 99.30%
Epoch 52 | Train Acc: 99.05% | Val Acc: 99.29%
Epoch 53 | Train Acc: 99.03% | Val Acc: 99.32%
Epoch 54 | Train Acc: 99.05% | Val Acc: 99.31%
Epoch 55 | Train Acc: 99.06% | Val Acc: 99.30%
Epoch 56 | Train Acc: 99.08% | Val Acc: 99.29%
Epoch 57 | Train Acc: 99.06% | Val Acc: 99.29%
Epoch 58 | Train Acc: 99.05% | Val Acc: 99.32%
Epoch 59 | Train Acc: 99.06% | Val Acc: 99.32%
Epoch 60 | Train Acc: 99.07% | Val Acc: 99.30%
Epoch 61 | Train Acc: 99.11% | Val Acc: 99.30%
Epoch 62 | Train Acc: 99.08% | Val Acc: 99.30%
Epoch 63 | Train Acc: 99.10% | Val Acc: 99.30%
Epoch 64 | Train Acc: 99.08% | Val Acc: 99.32%
Epoch 65 | Train Acc: 99.06% | Val Acc: 99.31%
Epoch 66 | Train Acc: 99.09% | Val Acc: 99.31%
Epoch 67 | Train Acc: 99.08% | Val Acc: 99.31%
Fold 3 Test Accuracy: 86.11%
Epoch 1 | Train Acc: 29.02% | Val Acc: 40.95%
Epoch 2 | Train Acc: 52.00% | Val Acc: 65.74%
Epoch 3 | Train Acc: 66.26% | Val Acc: 76.94%
Epoch 4 | Train Acc: 75.49% | Val Acc: 85.37%
Epoch 5 | Train Acc: 83.67% | Val Acc: 91.59%
Epoch 6 | Train Acc: 89.34% | Val Acc: 93.83%
Epoch 7 | Train Acc: 92.11% | Val Acc: 96.18%
Epoch 8 | Train Acc: 93.22% | Val Acc: 97.42%
Epoch 9 | Train Acc: 95.07% | Val Acc: 98.07%
Epoch 10 | Train Acc: 95.73% | Val Acc: 98.16%
Epoch 11 | Train Acc: 97.08% | Val Acc: 98.44%
Epoch 12 | Train Acc: 97.19% | Val Acc: 98.29%
Epoch 13 | Train Acc: 97.22% | Val Acc: 98.65%
Epoch 14 | Train Acc: 97.43% | Val Acc: 98.87%
Epoch 15 | Train Acc: 97.73% | Val Acc: 98.44%
Epoch 16 | Train Acc: 97.65% | Val Acc: 98.94%
Epoch 17 | Train Acc: 97.96% | Val Acc: 98.92%
Epoch 18 | Train Acc: 97.95% | Val Acc: 98.72%
Epoch 19 | Train Acc: 98.10% | Val Acc: 99.12%
Epoch 20 | Train Acc: 98.09% | Val Acc: 99.17%
Epoch 21 | Train Acc: 98.51% | Val Acc: 99.14%
Epoch 22 | Train Acc: 98.59% | Val Acc: 99.22%
Epoch 23 | Train Acc: 98.57% | Val Acc: 99.19%
Epoch 24 | Train Acc: 98.59% | Val Acc: 99.27%
Epoch 25 | Train Acc: 98.61% | Val Acc: 99.28%
Epoch 26 | Train Acc: 98.62% | Val Acc: 99.12%
Epoch 27 | Train Acc: 98.64% | Val Acc: 99.26%
Epoch 28 | Train Acc: 98.66% | Val Acc: 99.20%
Epoch 29 | Train Acc: 98.72% | Val Acc: 99.20%
Epoch 30 | Train Acc: 98.60% | Val Acc: 99.27%
Epoch 31 | Train Acc: 98.88% | Val Acc: 99.30%
Epoch 32 | Train Acc: 98.88% | Val Acc: 99.29%
Epoch 33 | Train Acc: 98.88% | Val Acc: 99.32%
Epoch 34 | Train Acc: 98.88% | Val Acc: 99.28%
Epoch 35 | Train Acc: 98.88% | Val Acc: 99.27%
Epoch 36 | Train Acc: 98.90% | Val Acc: 99.29%
Epoch 37 | Train Acc: 98.93% | Val Acc: 99.33%
Epoch 38 | Train Acc: 98.91% | Val Acc: 99.28%
Epoch 39 | Train Acc: 98.91% | Val Acc: 99.32%
Epoch 40 | Train Acc: 98.93% | Val Acc: 99.32%
Epoch 41 | Train Acc: 99.00% | Val Acc: 99.33%
Epoch 42 | Train Acc: 99.01% | Val Acc: 99.31%
Epoch 43 | Train Acc: 98.98% | Val Acc: 99.30%
Epoch 44 | Train Acc: 99.02% | Val Acc: 99.34%
Epoch 45 | Train Acc: 99.00% | Val Acc: 99.32%
Epoch 46 | Train Acc: 99.01% | Val Acc: 99.34%
Epoch 47 | Train Acc: 99.02% | Val Acc: 99.32%
Epoch 48 | Train Acc: 99.04% | Val Acc: 99.34%
Epoch 49 | Train Acc: 99.01% | Val Acc: 99.33%
Epoch 50 | Train Acc: 99.03% | Val Acc: 99.33%
Epoch 51 | Train Acc: 99.06% | Val Acc: 99.35%
Epoch 52 | Train Acc: 99.06% | Val Acc: 99.36%
Epoch 53 | Train Acc: 99.08% | Val Acc: 99.34%
Epoch 54 | Train Acc: 99.05% | Val Acc: 99.35%
Epoch 55 | Train Acc: 99.10% | Val Acc: 99.34%
Epoch 56 | Train Acc: 99.08% | Val Acc: 99.33%
Epoch 57 | Train Acc: 99.07% | Val Acc: 99.35%
Epoch 58 | Train Acc: 99.07% | Val Acc: 99.36%
Epoch 59 | Train Acc: 99.08% | Val Acc: 99.34%
Epoch 60 | Train Acc: 99.06% | Val Acc: 99.35%
Epoch 61 | Train Acc: 99.06% | Val Acc: 99.35%
Epoch 62 | Train Acc: 99.10% | Val Acc: 99.35%
Epoch 63 | Train Acc: 99.08% | Val Acc: 99.36%
Fold 4 Test Accuracy: 83.05%
Epoch 1 | Train Acc: 27.81% | Val Acc: 45.71%
Epoch 2 | Train Acc: 53.12% | Val Acc: 64.26%
Epoch 3 | Train Acc: 67.32% | Val Acc: 74.88%
Epoch 4 | Train Acc: 74.89% | Val Acc: 83.44%
Epoch 5 | Train Acc: 80.75% | Val Acc: 87.97%
Epoch 6 | Train Acc: 85.26% | Val Acc: 90.74%
Epoch 7 | Train Acc: 88.87% | Val Acc: 93.11%
Epoch 8 | Train Acc: 91.08% | Val Acc: 96.10%
Epoch 9 | Train Acc: 93.03% | Val Acc: 97.01%
Epoch 10 | Train Acc: 94.79% | Val Acc: 96.33%
Epoch 11 | Train Acc: 96.14% | Val Acc: 98.30%
Epoch 12 | Train Acc: 96.57% | Val Acc: 98.01%
Epoch 13 | Train Acc: 96.73% | Val Acc: 97.67%
Epoch 14 | Train Acc: 96.86% | Val Acc: 97.97%
Epoch 15 | Train Acc: 97.13% | Val Acc: 97.92%
Epoch 16 | Train Acc: 97.26% | Val Acc: 98.60%
Epoch 17 | Train Acc: 97.36% | Val Acc: 98.47%
Epoch 18 | Train Acc: 97.55% | Val Acc: 98.21%
Epoch 19 | Train Acc: 97.65% | Val Acc: 98.76%
Epoch 20 | Train Acc: 97.51% | Val Acc: 98.98%
Epoch 21 | Train Acc: 98.18% | Val Acc: 99.03%
Epoch 22 | Train Acc: 98.25% | Val Acc: 98.77%
Epoch 23 | Train Acc: 98.30% | Val Acc: 99.14%
Epoch 24 | Train Acc: 98.30% | Val Acc: 99.15%
Epoch 25 | Train Acc: 98.37% | Val Acc: 99.10%
Epoch 26 | Train Acc: 98.34% | Val Acc: 99.12%
Epoch 27 | Train Acc: 98.44% | Val Acc: 99.19%
Epoch 28 | Train Acc: 98.51% | Val Acc: 99.22%
Epoch 29 | Train Acc: 98.46% | Val Acc: 99.23%
Epoch 30 | Train Acc: 98.58% | Val Acc: 99.24%
Epoch 31 | Train Acc: 98.69% | Val Acc: 99.26%
Epoch 32 | Train Acc: 98.70% | Val Acc: 99.14%
Epoch 33 | Train Acc: 98.75% | Val Acc: 99.16%
Epoch 34 | Train Acc: 98.70% | Val Acc: 99.17%
Epoch 35 | Train Acc: 98.76% | Val Acc: 99.26%
Epoch 36 | Train Acc: 98.77% | Val Acc: 99.28%
Epoch 37 | Train Acc: 98.79% | Val Acc: 99.31%
Epoch 38 | Train Acc: 98.81% | Val Acc: 99.24%
Epoch 39 | Train Acc: 98.79% | Val Acc: 99.32%
Epoch 40 | Train Acc: 98.83% | Val Acc: 99.33%
Epoch 41 | Train Acc: 98.91% | Val Acc: 99.31%
Epoch 42 | Train Acc: 98.89% | Val Acc: 99.33%
Epoch 43 | Train Acc: 98.89% | Val Acc: 99.31%
Epoch 44 | Train Acc: 98.92% | Val Acc: 99.34%
Epoch 45 | Train Acc: 98.88% | Val Acc: 99.27%
Epoch 46 | Train Acc: 98.91% | Val Acc: 99.31%
Epoch 47 | Train Acc: 98.93% | Val Acc: 99.34%
Epoch 48 | Train Acc: 98.92% | Val Acc: 99.34%
Epoch 49 | Train Acc: 98.95% | Val Acc: 99.33%
Epoch 50 | Train Acc: 98.97% | Val Acc: 99.35%
Epoch 51 | Train Acc: 98.96% | Val Acc: 99.33%
Epoch 52 | Train Acc: 98.99% | Val Acc: 99.34%
Epoch 53 | Train Acc: 98.98% | Val Acc: 99.32%
Epoch 54 | Train Acc: 98.98% | Val Acc: 99.31%
Epoch 55 | Train Acc: 98.97% | Val Acc: 99.35%
Epoch 56 | Train Acc: 98.98% | Val Acc: 99.32%
Epoch 57 | Train Acc: 98.96% | Val Acc: 99.34%
Epoch 58 | Train Acc: 99.00% | Val Acc: 99.31%
