=== Experiment Summary ===
Timestamp: 2025-11-17_22-18-24
Total Classes: 6
SNR: -20 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 30.05% | Val Acc: 34.67%
Epoch 2 | Train Acc: 36.34% | Val Acc: 39.01%
Epoch 3 | Train Acc: 37.47% | Val Acc: 39.77%
Epoch 4 | Train Acc: 38.53% | Val Acc: 39.16%
Epoch 5 | Train Acc: 39.00% | Val Acc: 39.70%
Epoch 6 | Train Acc: 39.41% | Val Acc: 40.49%
Epoch 7 | Train Acc: 39.78% | Val Acc: 40.72%
Epoch 8 | Train Acc: 40.03% | Val Acc: 40.65%
Epoch 9 | Train Acc: 40.34% | Val Acc: 41.94%
Epoch 10 | Train Acc: 40.55% | Val Acc: 41.44%
Epoch 11 | Train Acc: 41.16% | Val Acc: 42.08%
Epoch 12 | Train Acc: 41.28% | Val Acc: 42.15%
Epoch 13 | Train Acc: 41.42% | Val Acc: 41.76%
Epoch 14 | Train Acc: 41.51% | Val Acc: 42.26%
Epoch 15 | Train Acc: 41.58% | Val Acc: 41.65%
Epoch 16 | Train Acc: 41.55% | Val Acc: 41.87%
Epoch 17 | Train Acc: 41.62% | Val Acc: 42.63%
Epoch 18 | Train Acc: 41.59% | Val Acc: 42.31%
Epoch 19 | Train Acc: 41.80% | Val Acc: 42.28%
Epoch 20 | Train Acc: 41.73% | Val Acc: 42.17%
Epoch 21 | Train Acc: 41.99% | Val Acc: 42.42%
Epoch 22 | Train Acc: 42.04% | Val Acc: 42.42%
Epoch 23 | Train Acc: 41.95% | Val Acc: 42.46%
Epoch 24 | Train Acc: 41.93% | Val Acc: 42.47%
Epoch 25 | Train Acc: 41.98% | Val Acc: 42.54%
Epoch 26 | Train Acc: 42.01% | Val Acc: 42.25%
Epoch 27 | Train Acc: 41.99% | Val Acc: 42.53%
Epoch 28 | Train Acc: 42.00% | Val Acc: 42.58%
Epoch 29 | Train Acc: 42.03% | Val Acc: 42.64%
Epoch 30 | Train Acc: 41.98% | Val Acc: 42.68%
Epoch 31 | Train Acc: 42.11% | Val Acc: 42.65%
Epoch 32 | Train Acc: 42.17% | Val Acc: 42.59%
Epoch 33 | Train Acc: 42.23% | Val Acc: 42.67%
Epoch 34 | Train Acc: 42.14% | Val Acc: 42.51%
Epoch 35 | Train Acc: 42.20% | Val Acc: 42.73%
Epoch 36 | Train Acc: 42.22% | Val Acc: 42.78%
Epoch 37 | Train Acc: 42.18% | Val Acc: 42.59%
Epoch 38 | Train Acc: 42.25% | Val Acc: 42.54%
Epoch 39 | Train Acc: 42.19% | Val Acc: 42.72%
Epoch 40 | Train Acc: 42.23% | Val Acc: 42.67%
Epoch 41 | Train Acc: 42.22% | Val Acc: 42.60%
Fold 1 Test Accuracy: 42.05%
Epoch 1 | Train Acc: 29.99% | Val Acc: 36.55%
Epoch 2 | Train Acc: 36.46% | Val Acc: 38.95%
Epoch 3 | Train Acc: 37.91% | Val Acc: 38.59%
Epoch 4 | Train Acc: 38.97% | Val Acc: 39.45%
Epoch 5 | Train Acc: 39.43% | Val Acc: 40.04%
Epoch 6 | Train Acc: 39.67% | Val Acc: 39.88%
Epoch 7 | Train Acc: 39.97% | Val Acc: 40.11%
Epoch 8 | Train Acc: 40.22% | Val Acc: 40.74%
Epoch 9 | Train Acc: 40.57% | Val Acc: 41.02%
Epoch 10 | Train Acc: 40.71% | Val Acc: 40.60%
Epoch 11 | Train Acc: 41.25% | Val Acc: 42.23%
Epoch 12 | Train Acc: 41.33% | Val Acc: 41.54%
Epoch 13 | Train Acc: 41.35% | Val Acc: 42.15%
Epoch 14 | Train Acc: 41.54% | Val Acc: 41.81%
Epoch 15 | Train Acc: 41.52% | Val Acc: 42.20%
Epoch 16 | Train Acc: 41.66% | Val Acc: 42.00%
Epoch 17 | Train Acc: 41.66% | Val Acc: 41.59%
Epoch 18 | Train Acc: 41.81% | Val Acc: 42.17%
Epoch 19 | Train Acc: 41.57% | Val Acc: 42.39%
Epoch 20 | Train Acc: 41.76% | Val Acc: 41.97%
Epoch 21 | Train Acc: 41.97% | Val Acc: 42.30%
Epoch 22 | Train Acc: 42.06% | Val Acc: 42.28%
Epoch 23 | Train Acc: 42.05% | Val Acc: 42.54%
Epoch 24 | Train Acc: 42.01% | Val Acc: 42.39%
Epoch 25 | Train Acc: 42.03% | Val Acc: 42.32%
Epoch 26 | Train Acc: 42.10% | Val Acc: 42.18%
Epoch 27 | Train Acc: 42.06% | Val Acc: 42.29%
Epoch 28 | Train Acc: 42.12% | Val Acc: 42.35%
Fold 2 Test Accuracy: 42.18%
Epoch 1 | Train Acc: 30.27% | Val Acc: 35.70%
Epoch 2 | Train Acc: 36.45% | Val Acc: 36.60%
Epoch 3 | Train Acc: 37.73% | Val Acc: 38.88%
Epoch 4 | Train Acc: 38.66% | Val Acc: 39.31%
Epoch 5 | Train Acc: 39.21% | Val Acc: 39.36%
Epoch 6 | Train Acc: 39.63% | Val Acc: 39.59%
Epoch 7 | Train Acc: 39.86% | Val Acc: 40.10%
Epoch 8 | Train Acc: 40.30% | Val Acc: 40.76%
Epoch 9 | Train Acc: 40.52% | Val Acc: 40.58%
Epoch 10 | Train Acc: 40.82% | Val Acc: 40.99%
Epoch 11 | Train Acc: 41.21% | Val Acc: 41.43%
Epoch 12 | Train Acc: 41.46% | Val Acc: 41.92%
Epoch 13 | Train Acc: 41.52% | Val Acc: 42.30%
Epoch 14 | Train Acc: 41.72% | Val Acc: 41.46%
Epoch 15 | Train Acc: 41.62% | Val Acc: 41.77%
Epoch 16 | Train Acc: 41.62% | Val Acc: 42.23%
Epoch 17 | Train Acc: 41.47% | Val Acc: 41.49%
Epoch 18 | Train Acc: 41.77% | Val Acc: 41.96%
Epoch 19 | Train Acc: 41.82% | Val Acc: 42.42%
Epoch 20 | Train Acc: 41.72% | Val Acc: 42.20%
Epoch 21 | Train Acc: 42.09% | Val Acc: 42.40%
Epoch 22 | Train Acc: 42.02% | Val Acc: 42.28%
Epoch 23 | Train Acc: 41.99% | Val Acc: 42.32%
Epoch 24 | Train Acc: 42.07% | Val Acc: 42.30%
Epoch 25 | Train Acc: 42.06% | Val Acc: 42.38%
Epoch 26 | Train Acc: 42.05% | Val Acc: 42.44%
Epoch 27 | Train Acc: 42.21% | Val Acc: 42.18%
Epoch 28 | Train Acc: 42.06% | Val Acc: 42.16%
Epoch 29 | Train Acc: 42.12% | Val Acc: 42.39%
Epoch 30 | Train Acc: 42.14% | Val Acc: 42.49%
Epoch 31 | Train Acc: 42.28% | Val Acc: 42.43%
Epoch 32 | Train Acc: 42.32% | Val Acc: 42.57%
Epoch 33 | Train Acc: 42.21% | Val Acc: 42.45%
Epoch 34 | Train Acc: 42.28% | Val Acc: 42.34%
Epoch 35 | Train Acc: 42.22% | Val Acc: 42.47%
Epoch 36 | Train Acc: 42.22% | Val Acc: 42.45%
Epoch 37 | Train Acc: 42.20% | Val Acc: 42.34%
Fold 3 Test Accuracy: 42.33%
Epoch 1 | Train Acc: 29.99% | Val Acc: 34.35%
Epoch 2 | Train Acc: 35.91% | Val Acc: 37.74%
Epoch 3 | Train Acc: 37.22% | Val Acc: 38.64%
Epoch 4 | Train Acc: 38.09% | Val Acc: 39.34%
Epoch 5 | Train Acc: 38.87% | Val Acc: 39.59%
Epoch 6 | Train Acc: 39.29% | Val Acc: 40.65%
Epoch 7 | Train Acc: 39.59% | Val Acc: 40.56%
Epoch 8 | Train Acc: 40.03% | Val Acc: 41.16%
Epoch 9 | Train Acc: 40.26% | Val Acc: 41.15%
Epoch 10 | Train Acc: 40.48% | Val Acc: 41.97%
Epoch 11 | Train Acc: 41.08% | Val Acc: 42.17%
Epoch 12 | Train Acc: 41.19% | Val Acc: 42.26%
Epoch 13 | Train Acc: 41.21% | Val Acc: 42.37%
Epoch 14 | Train Acc: 41.42% | Val Acc: 42.56%
Epoch 15 | Train Acc: 41.51% | Val Acc: 41.76%
Epoch 16 | Train Acc: 41.53% | Val Acc: 42.74%
Epoch 17 | Train Acc: 41.60% | Val Acc: 42.59%
Epoch 18 | Train Acc: 41.60% | Val Acc: 42.41%
Epoch 19 | Train Acc: 41.69% | Val Acc: 42.39%
Epoch 20 | Train Acc: 41.73% | Val Acc: 42.04%
Epoch 21 | Train Acc: 41.91% | Val Acc: 42.73%
Epoch 22 | Train Acc: 41.91% | Val Acc: 41.81%
Epoch 23 | Train Acc: 41.94% | Val Acc: 42.55%
Epoch 24 | Train Acc: 42.06% | Val Acc: 42.35%
Epoch 25 | Train Acc: 41.92% | Val Acc: 42.79%
Epoch 26 | Train Acc: 42.01% | Val Acc: 42.83%
Epoch 27 | Train Acc: 41.98% | Val Acc: 42.38%
Epoch 28 | Train Acc: 41.98% | Val Acc: 42.39%
Epoch 29 | Train Acc: 41.94% | Val Acc: 42.86%
Epoch 30 | Train Acc: 42.04% | Val Acc: 42.61%
Fold 4 Test Accuracy: 42.61%
Epoch 1 | Train Acc: 29.91% | Val Acc: 36.70%
Epoch 2 | Train Acc: 36.40% | Val Acc: 36.30%
Epoch 3 | Train Acc: 37.67% | Val Acc: 37.97%
Epoch 4 | Train Acc: 38.38% | Val Acc: 39.04%
Epoch 5 | Train Acc: 38.87% | Val Acc: 38.67%
Epoch 6 | Train Acc: 39.36% | Val Acc: 39.69%
Epoch 7 | Train Acc: 39.54% | Val Acc: 40.30%
Epoch 8 | Train Acc: 39.78% | Val Acc: 40.26%
Epoch 9 | Train Acc: 40.15% | Val Acc: 40.34%
Epoch 10 | Train Acc: 40.33% | Val Acc: 40.36%
Epoch 11 | Train Acc: 40.74% | Val Acc: 40.95%
Epoch 12 | Train Acc: 40.89% | Val Acc: 40.55%
Epoch 13 | Train Acc: 40.96% | Val Acc: 41.08%
Epoch 14 | Train Acc: 41.05% | Val Acc: 41.13%
Epoch 15 | Train Acc: 41.34% | Val Acc: 41.81%
