=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-04-29_17-30-34
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): no Hz
Epoch 15 | Train Loss: 0.1751 | Train Accuracy: 94.73% | Validation Loss: 0.6215 | Validation Accuracy: 84.17%
Epoch 16 | Train Loss: 0.1500 | Train Accuracy: 95.42% | Validation Loss: 0.6251 | Validation Accuracy: 84.02%
Epoch 17 | Train Loss: 0.1276 | Train Accuracy: 96.20% | Validation Loss: 0.6311 | Validation Accuracy: 84.33%
Epoch 18 | Train Loss: 0.1132 | Train Accuracy: 96.53% | Validation Loss: 0.6324 | Validation Accuracy: 84.44%
Epoch 19 | Train Loss: 0.1001 | Train Accuracy: 96.91% | Validation Loss: 0.6460 | Validation Accuracy: 84.68%
Epoch 1 | Train Loss: 3.0073 | Train Accuracy: 7.56% | Validation Loss: 2.9614 | Validation Accuracy: 9.64%
Epoch 2 | Train Loss: 2.9895 | Train Accuracy: 7.99% | Validation Loss: 2.9604 | Validation Accuracy: 9.64%
Epoch 3 | Train Loss: 2.9808 | Train Accuracy: 8.33% | Validation Loss: 2.9583 | Validation Accuracy: 9.64%
Epoch 4 | Train Loss: 2.9754 | Train Accuracy: 8.62% | Validation Loss: 2.9564 | Validation Accuracy: 9.64%
Epoch 5 | Train Loss: 2.9707 | Train Accuracy: 8.90% | Validation Loss: 2.9592 | Validation Accuracy: 9.64%
Epoch 6 | Train Loss: 2.9677 | Train Accuracy: 8.97% | Validation Loss: 2.9551 | Validation Accuracy: 9.64%
Epoch 7 | Train Loss: 2.8223 | Train Accuracy: 14.69% | Validation Loss: 1.9882 | Validation Accuracy: 44.78%
Epoch 8 | Train Loss: 1.4105 | Train Accuracy: 60.76% | Validation Loss: 0.8822 | Validation Accuracy: 75.59%
Epoch 9 | Train Loss: 0.7520 | Train Accuracy: 78.88% | Validation Loss: 0.7184 | Validation Accuracy: 80.19%
Epoch 10 | Train Loss: 0.4974 | Train Accuracy: 85.74% | Validation Loss: 0.6555 | Validation Accuracy: 82.22%
Epoch 11 | Train Loss: 0.3183 | Train Accuracy: 90.88% | Validation Loss: 0.6218 | Validation Accuracy: 83.26%
Epoch 12 | Train Loss: 0.2545 | Train Accuracy: 92.58% | Validation Loss: 0.6164 | Validation Accuracy: 83.78%
