=== Experiment Summary ===
Timestamp: 2025-11-17_09-46-20
Total Classes: 6
SNR: -5 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0 
Epoch 1 | Train Acc: 44.77% | Val Acc: 58.80%
Epoch 2 | Train Acc: 59.16% | Val Acc: 60.02%
Epoch 3 | Train Acc: 59.68% | Val Acc: 60.35%
Epoch 4 | Train Acc: 59.78% | Val Acc: 60.16%
Epoch 5 | Train Acc: 59.95% | Val Acc: 60.68%
Epoch 6 | Train Acc: 60.18% | Val Acc: 60.43%
Epoch 7 | Train Acc: 60.33% | Val Acc: 60.46%
Epoch 8 | Train Acc: 60.34% | Val Acc: 60.22%
Epoch 9 | Train Acc: 60.29% | Val Acc: 60.82%
Epoch 10 | Train Acc: 60.40% | Val Acc: 60.62%
Epoch 11 | Train Acc: 60.76% | Val Acc: 60.71%
Epoch 12 | Train Acc: 60.71% | Val Acc: 61.11%
Epoch 13 | Train Acc: 60.67% | Val Acc: 61.02%
Epoch 14 | Train Acc: 60.79% | Val Acc: 60.88%
Epoch 15 | Train Acc: 60.78% | Val Acc: 61.10%
Epoch 16 | Train Acc: 60.80% | Val Acc: 60.65%
Epoch 17 | Train Acc: 60.79% | Val Acc: 61.04%
Epoch 18 | Train Acc: 60.84% | Val Acc: 61.20%
Epoch 19 | Train Acc: 60.94% | Val Acc: 61.14%
Epoch 20 | Train Acc: 61.07% | Val Acc: 61.23%
Epoch 21 | Train Acc: 61.29% | Val Acc: 61.37%
Epoch 22 | Train Acc: 61.14% | Val Acc: 61.41%
Epoch 23 | Train Acc: 61.23% | Val Acc: 61.30%
Epoch 24 | Train Acc: 61.20% | Val Acc: 61.36%
Epoch 25 | Train Acc: 61.27% | Val Acc: 61.39%
Epoch 26 | Train Acc: 61.35% | Val Acc: 61.45%
Fold 1 Test Accuracy: 61.04%
Epoch 1 | Train Acc: 46.68% | Val Acc: 60.16%
Epoch 2 | Train Acc: 59.83% | Val Acc: 60.70%
Epoch 3 | Train Acc: 60.09% | Val Acc: 60.21%
Epoch 4 | Train Acc: 60.20% | Val Acc: 60.65%
Epoch 5 | Train Acc: 60.33% | Val Acc: 60.46%
Epoch 6 | Train Acc: 60.37% | Val Acc: 60.90%
Epoch 7 | Train Acc: 60.30% | Val Acc: 60.56%
Epoch 8 | Train Acc: 60.41% | Val Acc: 60.61%
Epoch 9 | Train Acc: 60.46% | Val Acc: 60.71%
Epoch 10 | Train Acc: 60.52% | Val Acc: 60.75%
Epoch 11 | Train Acc: 60.75% | Val Acc: 60.85%
Epoch 12 | Train Acc: 60.70% | Val Acc: 60.81%
Epoch 13 | Train Acc: 60.70% | Val Acc: 61.02%
Epoch 14 | Train Acc: 60.83% | Val Acc: 60.94%
Epoch 15 | Train Acc: 60.85% | Val Acc: 60.82%
Epoch 16 | Train Acc: 60.91% | Val Acc: 61.17%
Epoch 17 | Train Acc: 60.96% | Val Acc: 61.25%
Epoch 18 | Train Acc: 61.02% | Val Acc: 61.42%
Epoch 19 | Train Acc: 61.05% | Val Acc: 60.88%
Epoch 20 | Train Acc: 61.24% | Val Acc: 61.31%
Epoch 21 | Train Acc: 61.42% | Val Acc: 61.51%
Epoch 22 | Train Acc: 61.33% | Val Acc: 61.77%
Epoch 23 | Train Acc: 61.44% | Val Acc: 61.67%
Epoch 24 | Train Acc: 61.41% | Val Acc: 61.59%
Epoch 25 | Train Acc: 61.43% | Val Acc: 61.83%
Epoch 26 | Train Acc: 61.44% | Val Acc: 61.64%
Epoch 27 | Train Acc: 61.47% | Val Acc: 61.80%
Epoch 28 | Train Acc: 61.53% | Val Acc: 61.76%
Epoch 29 | Train Acc: 61.48% | Val Acc: 61.77%
Epoch 30 | Train Acc: 61.59% | Val Acc: 61.86%
Epoch 31 | Train Acc: 61.67% | Val Acc: 61.89%
Epoch 32 | Train Acc: 61.61% | Val Acc: 61.81%
Epoch 33 | Train Acc: 61.67% | Val Acc: 61.94%
Epoch 34 | Train Acc: 61.61% | Val Acc: 61.65%
Epoch 35 | Train Acc: 61.63% | Val Acc: 61.90%
Epoch 36 | Train Acc: 61.61% | Val Acc: 61.87%
Epoch 37 | Train Acc: 61.66% | Val Acc: 61.83%
Epoch 38 | Train Acc: 61.71% | Val Acc: 61.94%
Epoch 39 | Train Acc: 61.71% | Val Acc: 61.93%
Epoch 40 | Train Acc: 61.61% | Val Acc: 61.72%
Epoch 41 | Train Acc: 61.78% | Val Acc: 62.04%
Epoch 42 | Train Acc: 61.73% | Val Acc: 62.00%
Epoch 43 | Train Acc: 61.63% | Val Acc: 61.72%
Epoch 44 | Train Acc: 61.77% | Val Acc: 62.02%
Epoch 45 | Train Acc: 61.71% | Val Acc: 61.94%
Epoch 46 | Train Acc: 61.67% | Val Acc: 61.93%
Epoch 47 | Train Acc: 61.72% | Val Acc: 61.89%
Fold 2 Test Accuracy: 61.57%
Epoch 1 | Train Acc: 49.09% | Val Acc: 59.42%
Epoch 2 | Train Acc: 59.09% | Val Acc: 60.20%
Epoch 3 | Train Acc: 59.85% | Val Acc: 59.67%
Epoch 4 | Train Acc: 60.09% | Val Acc: 60.23%
Epoch 5 | Train Acc: 60.24% | Val Acc: 59.09%
Epoch 6 | Train Acc: 60.28% | Val Acc: 60.82%
Epoch 7 | Train Acc: 60.22% | Val Acc: 60.79%
Epoch 8 | Train Acc: 60.30% | Val Acc: 61.13%
Epoch 9 | Train Acc: 60.38% | Val Acc: 61.10%
Epoch 10 | Train Acc: 60.37% | Val Acc: 60.48%
Epoch 11 | Train Acc: 60.68% | Val Acc: 60.89%
Epoch 12 | Train Acc: 60.61% | Val Acc: 60.65%
Epoch 13 | Train Acc: 60.62% | Val Acc: 61.30%
Epoch 14 | Train Acc: 60.83% | Val Acc: 61.12%
Epoch 15 | Train Acc: 60.79% | Val Acc: 61.02%
Epoch 16 | Train Acc: 60.72% | Val Acc: 61.22%
Epoch 17 | Train Acc: 60.90% | Val Acc: 61.29%
Epoch 18 | Train Acc: 60.96% | Val Acc: 61.56%
Epoch 19 | Train Acc: 61.16% | Val Acc: 61.58%
Epoch 20 | Train Acc: 61.04% | Val Acc: 61.41%
Epoch 21 | Train Acc: 61.24% | Val Acc: 61.60%
Epoch 22 | Train Acc: 61.31% | Val Acc: 61.86%
Epoch 23 | Train Acc: 61.30% | Val Acc: 61.79%
Epoch 24 | Train Acc: 61.39% | Val Acc: 61.67%
Epoch 25 | Train Acc: 61.28% | Val Acc: 61.45%
Epoch 26 | Train Acc: 61.38% | Val Acc: 61.80%
Epoch 27 | Train Acc: 61.33% | Val Acc: 61.79%
Epoch 28 | Train Acc: 61.36% | Val Acc: 61.85%
Epoch 29 | Train Acc: 61.50% | Val Acc: 61.41%
Epoch 30 | Train Acc: 61.44% | Val Acc: 61.91%
Epoch 31 | Train Acc: 61.49% | Val Acc: 61.99%
Epoch 32 | Train Acc: 61.59% | Val Acc: 61.93%
Epoch 33 | Train Acc: 61.56% | Val Acc: 62.02%
Epoch 34 | Train Acc: 61.56% | Val Acc: 62.04%
Epoch 35 | Train Acc: 61.61% | Val Acc: 62.01%
Epoch 36 | Train Acc: 61.52% | Val Acc: 61.97%
Epoch 37 | Train Acc: 61.61% | Val Acc: 62.08%
Epoch 38 | Train Acc: 61.64% | Val Acc: 62.09%
Epoch 39 | Train Acc: 61.64% | Val Acc: 62.11%
Epoch 40 | Train Acc: 61.60% | Val Acc: 62.03%
Epoch 41 | Train Acc: 61.66% | Val Acc: 62.14%
Epoch 42 | Train Acc: 61.70% | Val Acc: 62.06%
Epoch 43 | Train Acc: 61.67% | Val Acc: 62.15%
Epoch 44 | Train Acc: 61.76% | Val Acc: 62.15%
Epoch 45 | Train Acc: 61.67% | Val Acc: 61.99%
Epoch 46 | Train Acc: 61.74% | Val Acc: 62.13%
Fold 3 Test Accuracy: 61.61%
Epoch 1 | Train Acc: 46.94% | Val Acc: 57.85%
Epoch 2 | Train Acc: 59.17% | Val Acc: 60.01%
Epoch 3 | Train Acc: 59.70% | Val Acc: 60.32%
Epoch 4 | Train Acc: 59.95% | Val Acc: 59.40%
Epoch 5 | Train Acc: 59.95% | Val Acc: 60.19%
Epoch 6 | Train Acc: 60.27% | Val Acc: 60.62%
Epoch 7 | Train Acc: 60.30% | Val Acc: 60.07%
Epoch 8 | Train Acc: 60.40% | Val Acc: 60.02%
Epoch 9 | Train Acc: 60.37% | Val Acc: 60.86%
Epoch 10 | Train Acc: 60.47% | Val Acc: 60.87%
Epoch 11 | Train Acc: 60.64% | Val Acc: 60.90%
Epoch 12 | Train Acc: 60.72% | Val Acc: 61.06%
Epoch 13 | Train Acc: 60.80% | Val Acc: 60.14%
Epoch 14 | Train Acc: 60.69% | Val Acc: 60.63%
Epoch 15 | Train Acc: 60.79% | Val Acc: 61.03%
Epoch 16 | Train Acc: 60.84% | Val Acc: 61.09%
Epoch 17 | Train Acc: 61.04% | Val Acc: 61.37%
Epoch 18 | Train Acc: 61.03% | Val Acc: 60.59%
Epoch 19 | Train Acc: 61.16% | Val Acc: 61.47%
Epoch 20 | Train Acc: 61.24% | Val Acc: 61.50%
Epoch 21 | Train Acc: 61.51% | Val Acc: 61.47%
Epoch 22 | Train Acc: 61.40% | Val Acc: 61.43%
Epoch 23 | Train Acc: 61.48% | Val Acc: 61.65%
Epoch 24 | Train Acc: 61.53% | Val Acc: 61.34%
Epoch 25 | Train Acc: 61.51% | Val Acc: 61.51%
Epoch 26 | Train Acc: 61.56% | Val Acc: 61.58%
Epoch 27 | Train Acc: 61.62% | Val Acc: 61.74%
Epoch 28 | Train Acc: 61.46% | Val Acc: 61.77%
Epoch 29 | Train Acc: 61.63% | Val Acc: 61.58%
Epoch 30 | Train Acc: 61.57% | Val Acc: 61.36%
Epoch 31 | Train Acc: 61.67% | Val Acc: 61.55%
Epoch 32 | Train Acc: 61.74% | Val Acc: 61.45%
Epoch 33 | Train Acc: 61.71% | Val Acc: 61.68%
Epoch 34 | Train Acc: 61.77% | Val Acc: 61.86%
Epoch 35 | Train Acc: 61.74% | Val Acc: 61.68%
Epoch 36 | Train Acc: 61.70% | Val Acc: 61.60%
Epoch 37 | Train Acc: 61.78% | Val Acc: 61.73%
Epoch 38 | Train Acc: 61.71% | Val Acc: 61.75%
Epoch 39 | Train Acc: 61.74% | Val Acc: 61.78%
Epoch 40 | Train Acc: 61.78% | Val Acc: 61.81%
Epoch 41 | Train Acc: 61.78% | Val Acc: 61.76%
Epoch 42 | Train Acc: 61.73% | Val Acc: 61.68%
Epoch 43 | Train Acc: 61.85% | Val Acc: 61.81%
Epoch 44 | Train Acc: 61.84% | Val Acc: 61.83%
Epoch 45 | Train Acc: 61.81% | Val Acc: 61.75%
Epoch 46 | Train Acc: 61.87% | Val Acc: 61.77%
Fold 4 Test Accuracy: 61.75%
Epoch 1 | Train Acc: 47.94% | Val Acc: 59.85%
Epoch 2 | Train Acc: 59.46% | Val Acc: 60.55%
Epoch 3 | Train Acc: 60.00% | Val Acc: 60.75%
Epoch 4 | Train Acc: 60.07% | Val Acc: 60.76%
Epoch 5 | Train Acc: 60.18% | Val Acc: 60.67%
Epoch 6 | Train Acc: 60.21% | Val Acc: 59.22%
Epoch 7 | Train Acc: 60.28% | Val Acc: 60.79%
Epoch 8 | Train Acc: 60.55% | Val Acc: 60.39%
Epoch 9 | Train Acc: 60.45% | Val Acc: 60.12%
Epoch 10 | Train Acc: 60.37% | Val Acc: 60.79%
Epoch 11 | Train Acc: 60.69% | Val Acc: 60.82%
Epoch 12 | Train Acc: 60.74% | Val Acc: 60.83%
Fold 5 Test Accuracy: 60.30%

=== Summary ===
Fold 1: Val Acc = 61.45%, Test Acc = 61.04%
Fold 2: Val Acc = 62.04%, Test Acc = 61.57%
Fold 3: Val Acc = 62.15%, Test Acc = 61.61%
Fold 4: Val Acc = 61.86%, Test Acc = 61.75%
Fold 5: Val Acc = 60.83%, Test Acc = 60.30%

Average Validation Accuracy: 61.67%
Average Test Accuracy: 61.26%
