=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-08-17_15-20-46
Total Classes: 20
SNR: -5 dB
fd (Doppler shift): 960.0 Hz
Epoch 1 | Train Loss: 3.0196 | Train Acc: 7.29% | Val Loss: 2.9688 | Val Acc: 9.16%
Epoch 2 | Train Loss: 2.9988 | Train Acc: 7.68% | Val Loss: 2.9676 | Val Acc: 9.16%
Epoch 3 | Train Loss: 2.9864 | Train Acc: 8.05% | Val Loss: 2.9647 | Val Acc: 9.16%
Epoch 4 | Train Loss: 2.9806 | Train Acc: 8.33% | Val Loss: 2.9608 | Val Acc: 9.16%
Epoch 5 | Train Loss: 2.9738 | Train Acc: 8.56% | Val Loss: 2.9642 | Val Acc: 9.16%
Epoch 6 | Train Loss: 2.9694 | Train Acc: 8.94% | Val Loss: 2.9641 | Val Acc: 9.16%
Epoch 7 | Train Loss: 2.9682 | Train Acc: 8.92% | Val Loss: 2.9648 | Val Acc: 9.16%
Epoch 8 | Train Loss: 2.9645 | Train Acc: 9.15% | Val Loss: 2.9581 | Val Acc: 9.16%
Epoch 9 | Train Loss: 2.7868 | Train Acc: 13.86% | Val Loss: 2.6482 | Val Acc: 18.11%
Epoch 10 | Train Loss: 2.5782 | Train Acc: 18.99% | Val Loss: 2.5593 | Val Acc: 19.62%
Epoch 11 | Train Loss: 2.4767 | Train Acc: 21.39% | Val Loss: 2.5070 | Val Acc: 21.32%
Epoch 12 | Train Loss: 2.4277 | Train Acc: 22.88% | Val Loss: 2.4644 | Val Acc: 22.35%
Epoch 13 | Train Loss: 2.3872 | Train Acc: 23.89% | Val Loss: 2.4367 | Val Acc: 22.82%
Epoch 14 | Train Loss: 2.3482 | Train Acc: 24.86% | Val Loss: 2.4209 | Val Acc: 23.31%
Epoch 15 | Train Loss: 2.3169 | Train Acc: 25.79% | Val Loss: 2.4035 | Val Acc: 23.51%
Epoch 16 | Train Loss: 2.2816 | Train Acc: 26.75% | Val Loss: 2.3929 | Val Acc: 23.87%
Epoch 17 | Train Loss: 2.2495 | Train Acc: 27.70% | Val Loss: 2.3873 | Val Acc: 24.19%
Epoch 18 | Train Loss: 2.2119 | Train Acc: 28.65% | Val Loss: 2.3785 | Val Acc: 24.50%
Epoch 19 | Train Loss: 2.1828 | Train Acc: 29.34% | Val Loss: 2.3924 | Val Acc: 24.45%
Epoch 20 | Train Loss: 2.1419 | Train Acc: 30.56% | Val Loss: 2.3795 | Val Acc: 24.75%
Epoch 21 | Train Loss: 2.0916 | Train Acc: 31.87% | Val Loss: 2.3727 | Val Acc: 24.95%
Epoch 22 | Train Loss: 2.0647 | Train Acc: 32.41% | Val Loss: 2.3785 | Val Acc: 24.90%
Epoch 23 | Train Loss: 2.0384 | Train Acc: 33.32% | Val Loss: 2.3780 | Val Acc: 24.78%
Epoch 24 | Train Loss: 2.0148 | Train Acc: 34.05% | Val Loss: 2.3833 | Val Acc: 24.87%
Epoch 25 | Train Loss: 1.9967 | Train Acc: 34.34% | Val Loss: 2.3900 | Val Acc: 25.01%
Epoch 26 | Train Loss: 1.9665 | Train Acc: 35.01% | Val Loss: 2.4010 | Val Acc: 24.97%
Epoch 27 | Train Loss: 1.9465 | Train Acc: 35.85% | Val Loss: 2.4122 | Val Acc: 24.89%
Epoch 28 | Train Loss: 1.9249 | Train Acc: 36.29% | Val Loss: 2.4170 | Val Acc: 25.07%
Epoch 29 | Train Loss: 1.9022 | Train Acc: 36.83% | Val Loss: 2.4157 | Val Acc: 25.16%
Epoch 30 | Train Loss: 1.8770 | Train Acc: 37.84% | Val Loss: 2.4274 | Val Acc: 25.07%
Epoch 31 | Train Loss: 1.8397 | Train Acc: 38.68% | Val Loss: 2.4262 | Val Acc: 25.48%
Epoch 1 | Train Loss: 3.0202 | Train Acc: 7.37% | Val Loss: 2.9679 | Val Acc: 9.15%
Epoch 2 | Train Loss: 2.9959 | Train Acc: 7.85% | Val Loss: 2.9653 | Val Acc: 9.15%
Epoch 3 | Train Loss: 2.9846 | Train Acc: 8.18% | Val Loss: 2.9616 | Val Acc: 9.15%
Epoch 4 | Train Loss: 2.9768 | Train Acc: 8.57% | Val Loss: 2.9609 | Val Acc: 9.15%
Epoch 5 | Train Loss: 2.9725 | Train Acc: 8.83% | Val Loss: 2.9607 | Val Acc: 9.15%
Epoch 6 | Train Loss: 2.9686 | Train Acc: 9.03% | Val Loss: 2.9591 | Val Acc: 9.15%
Epoch 7 | Train Loss: 2.9659 | Train Acc: 9.13% | Val Loss: 2.9592 | Val Acc: 9.15%
Epoch 8 | Train Loss: 2.9638 | Train Acc: 9.17% | Val Loss: 2.9584 | Val Acc: 9.15%
Epoch 9 | Train Loss: 2.8291 | Train Acc: 12.81% | Val Loss: 2.6619 | Val Acc: 17.63%
Epoch 10 | Train Loss: 2.5889 | Train Acc: 18.70% | Val Loss: 2.5631 | Val Acc: 20.03%
Epoch 11 | Train Loss: 2.4831 | Train Acc: 21.33% | Val Loss: 2.5025 | Val Acc: 21.00%
Epoch 12 | Train Loss: 2.4300 | Train Acc: 22.67% | Val Loss: 2.4712 | Val Acc: 21.95%
Epoch 13 | Train Loss: 2.3883 | Train Acc: 23.62% | Val Loss: 2.4470 | Val Acc: 22.49%
Epoch 14 | Train Loss: 2.3549 | Train Acc: 24.72% | Val Loss: 2.4235 | Val Acc: 22.82%
Epoch 15 | Train Loss: 2.3199 | Train Acc: 25.84% | Val Loss: 2.4168 | Val Acc: 23.13%
Epoch 16 | Train Loss: 2.2868 | Train Acc: 26.72% | Val Loss: 2.4047 | Val Acc: 23.65%
Epoch 17 | Train Loss: 2.2536 | Train Acc: 27.51% | Val Loss: 2.4050 | Val Acc: 23.78%
Epoch 18 | Train Loss: 2.2231 | Train Acc: 28.27% | Val Loss: 2.3947 | Val Acc: 23.91%
Epoch 19 | Train Loss: 2.1902 | Train Acc: 29.30% | Val Loss: 2.3967 | Val Acc: 23.78%
