
================ SNR=10 dB =================
Fold 3, Epoch 1: Train Loss=0.0953, Train Acc=96.93%, Val Loss=0.0359, Val Acc=99.05%, Grad Norm=0.8409
Fold 3, Epoch 2: Train Loss=0.0186, Train Acc=99.55%, Val Loss=0.0131, Val Acc=99.71%, Grad Norm=0.3657
Fold 3, Epoch 3: Train Loss=0.0133, Train Acc=99.70%, Val Loss=0.0136, Val Acc=99.64%, Grad Norm=0.3634
Fold 3, Epoch 4: Train Loss=0.0098, Train Acc=99.78%, Val Loss=0.0131, Val Acc=99.70%, Grad Norm=0.3223
Fold 3, Epoch 5: Train Loss=0.0081, Train Acc=99.83%, Val Loss=0.0073, Val Acc=99.89%, Grad Norm=0.3150
Fold 3, Epoch 6: Train Loss=0.0076, Train Acc=99.85%, Val Loss=0.0017, Val Acc=99.98%, Grad Norm=0.3257
Fold 3, Epoch 7: Train Loss=0.0069, Train Acc=99.87%, Val Loss=0.0059, Val Acc=99.86%, Grad Norm=0.3138
Fold 3, Epoch 8: Train Loss=0.0064, Train Acc=99.88%, Val Loss=0.0043, Val Acc=99.92%, Grad Norm=0.3169
Fold 3, Epoch 9: Train Loss=0.0073, Train Acc=99.85%, Val Loss=0.0031, Val Acc=99.94%, Grad Norm=0.3782
Fold 3, Epoch 10: Train Loss=0.0050, Train Acc=99.92%, Val Loss=0.0174, Val Acc=99.72%, Grad Norm=0.2623
Fold 3, Epoch 11: Train Loss=0.0033, Train Acc=99.96%, Val Loss=0.0023, Val Acc=99.98%, Grad Norm=0.1872
Fold 3, Epoch 12: Train Loss=0.0034, Train Acc=99.95%, Val Loss=0.0010, Val Acc=99.99%, Grad Norm=0.2006
Fold 3, Epoch 13: Train Loss=0.0038, Train Acc=99.95%, Val Loss=0.0025, Val Acc=99.96%, Grad Norm=0.2583
Fold 3, Epoch 14: Train Loss=0.0030, Train Acc=99.97%, Val Loss=0.0121, Val Acc=99.73%, Grad Norm=0.1986
早停，连续 8 个 epoch 验证集未提升
Fold 3 Test Acc=99.68%
Fold 4, Epoch 1: Train Loss=0.0970, Train Acc=96.83%, Val Loss=0.0572, Val Acc=98.72%, Grad Norm=0.8493
Fold 4, Epoch 2: Train Loss=0.0185, Train Acc=99.58%, Val Loss=0.0065, Val Acc=99.92%, Grad Norm=0.3804
Fold 4, Epoch 3: Train Loss=0.0122, Train Acc=99.72%, Val Loss=0.0251, Val Acc=99.42%, Grad Norm=0.3479
