Timestamp: 2025-11-24_16-25-51
Num Classes: 20
SNR_dB: 20
VELOCITY_KMH: 120
FC: 2400000000.0
FS: 20000000.0
Wavelet: db6, Level: 6
Batch: 64, Epochs: 200, LR: 0.0003, WD: 1e-05

Fold1 Epoch1 | TrainAcc=64.22% | ValAcc=47.91% | TrainLoss=1.1423 | ValLoss=1.6590
Fold1 Epoch2 | TrainAcc=84.02% | ValAcc=26.02% | TrainLoss=0.4979 | ValLoss=4.6843
Fold1 Epoch3 | TrainAcc=87.58% | ValAcc=23.78% | TrainLoss=0.3701 | ValLoss=6.4293
Fold1 Epoch4 | TrainAcc=89.38% | ValAcc=55.26% | TrainLoss=0.3108 | ValLoss=1.7319
Fold1 Epoch5 | TrainAcc=90.55% | ValAcc=49.81% | TrainLoss=0.2733 | ValLoss=2.4323
Fold1 Epoch6 | TrainAcc=91.40% | ValAcc=57.62% | TrainLoss=0.2479 | ValLoss=1.3014
Fold1 Epoch7 | TrainAcc=92.09% | ValAcc=51.43% | TrainLoss=0.2275 | ValLoss=2.2143
Fold1 Epoch8 | TrainAcc=92.82% | ValAcc=24.90% | TrainLoss=0.2089 | ValLoss=7.1245
Fold1 Epoch9 | TrainAcc=93.29% | ValAcc=73.60% | TrainLoss=0.1984 | ValLoss=0.8194
Fold1 Epoch10 | TrainAcc=93.68% | ValAcc=50.61% | TrainLoss=0.1831 | ValLoss=2.7338
Fold1 Epoch11 | TrainAcc=94.98% | ValAcc=92.46% | TrainLoss=0.1493 | ValLoss=0.2141
Fold1 Epoch12 | TrainAcc=95.07% | ValAcc=81.05% | TrainLoss=0.1429 | ValLoss=0.5230
Fold1 Epoch13 | TrainAcc=95.49% | ValAcc=93.45% | TrainLoss=0.1347 | ValLoss=0.1875
Fold1 Epoch14 | TrainAcc=95.69% | ValAcc=91.82% | TrainLoss=0.1310 | ValLoss=0.2346
Fold1 Epoch15 | TrainAcc=95.77% | ValAcc=64.27% | TrainLoss=0.1292 | ValLoss=1.3800
Fold1 Epoch16 | TrainAcc=95.84% | ValAcc=77.21% | TrainLoss=0.1250 | ValLoss=0.7245
Fold1 Epoch17 | TrainAcc=95.94% | ValAcc=79.02% | TrainLoss=0.1223 | ValLoss=0.6501
Fold1 Epoch18 | TrainAcc=96.09% | ValAcc=70.11% | TrainLoss=0.1172 | ValLoss=1.1061
Fold1 Epoch19 | TrainAcc=96.31% | ValAcc=78.92% | TrainLoss=0.1118 | ValLoss=0.6336
Fold1 Epoch20 | TrainAcc=96.42% | ValAcc=93.19% | TrainLoss=0.1078 | ValLoss=0.1866
Fold1 Epoch21 | TrainAcc=97.03% | ValAcc=93.25% | TrainLoss=0.0953 | ValLoss=0.1902
Fold1 Epoch22 | TrainAcc=97.12% | ValAcc=91.52% | TrainLoss=0.0914 | ValLoss=0.2480
Fold1 Epoch23 | TrainAcc=97.20% | ValAcc=91.95% | TrainLoss=0.0879 | ValLoss=0.2331
Fold 1 TestAcc=91.67%
Fold2 Epoch1 | TrainAcc=63.78% | ValAcc=58.79% | TrainLoss=1.1663 | ValLoss=1.3168
Fold2 Epoch2 | TrainAcc=84.79% | ValAcc=51.15% | TrainLoss=0.4698 | ValLoss=1.5708
Fold2 Epoch3 | TrainAcc=88.19% | ValAcc=33.15% | TrainLoss=0.3492 | ValLoss=3.2927
Fold2 Epoch4 | TrainAcc=89.72% | ValAcc=63.96% | TrainLoss=0.2983 | ValLoss=1.2407
Fold2 Epoch5 | TrainAcc=90.95% | ValAcc=37.14% | TrainLoss=0.2627 | ValLoss=3.3344
Fold2 Epoch6 | TrainAcc=91.81% | ValAcc=63.71% | TrainLoss=0.2371 | ValLoss=1.3513
Fold2 Epoch7 | TrainAcc=92.64% | ValAcc=65.08% | TrainLoss=0.2125 | ValLoss=1.3009
Fold2 Epoch8 | TrainAcc=93.12% | ValAcc=51.15% | TrainLoss=0.2011 | ValLoss=2.6702
Fold2 Epoch9 | TrainAcc=93.61% | ValAcc=62.86% | TrainLoss=0.1858 | ValLoss=1.6039
Fold2 Epoch10 | TrainAcc=93.94% | ValAcc=60.61% | TrainLoss=0.1767 | ValLoss=1.6489
Fold2 Epoch11 | TrainAcc=95.17% | ValAcc=90.20% | TrainLoss=0.1405 | ValLoss=0.2666
Fold2 Epoch12 | TrainAcc=95.47% | ValAcc=81.88% | TrainLoss=0.1338 | ValLoss=0.5333
Fold2 Epoch13 | TrainAcc=95.56% | ValAcc=87.14% | TrainLoss=0.1341 | ValLoss=0.3657
Fold2 Epoch14 | TrainAcc=95.73% | ValAcc=79.69% | TrainLoss=0.1273 | ValLoss=0.6591
Fold2 Epoch15 | TrainAcc=95.86% | ValAcc=84.71% | TrainLoss=0.1245 | ValLoss=0.5516
Fold2 Epoch16 | TrainAcc=95.98% | ValAcc=94.09% | TrainLoss=0.1206 | ValLoss=0.1686
Fold2 Epoch17 | TrainAcc=96.17% | ValAcc=86.68% | TrainLoss=0.1132 | ValLoss=0.3679
Fold2 Epoch18 | TrainAcc=96.19% | ValAcc=88.86% | TrainLoss=0.1113 | ValLoss=0.3022
Fold2 Epoch19 | TrainAcc=96.25% | ValAcc=66.47% | TrainLoss=0.1116 | ValLoss=1.7537
Fold2 Epoch20 | TrainAcc=96.41% | ValAcc=89.30% | TrainLoss=0.1086 | ValLoss=0.3131
Fold2 Epoch21 | TrainAcc=96.97% | ValAcc=84.28% | TrainLoss=0.0913 | ValLoss=0.4553
Fold2 Epoch22 | TrainAcc=97.14% | ValAcc=89.98% | TrainLoss=0.0890 | ValLoss=0.2943
Fold2 Epoch23 | TrainAcc=97.12% | ValAcc=89.26% | TrainLoss=0.0911 | ValLoss=0.3114
Fold2 Epoch24 | TrainAcc=97.17% | ValAcc=93.15% | TrainLoss=0.0857 | ValLoss=0.1886
Fold2 Epoch25 | TrainAcc=97.27% | ValAcc=94.67% | TrainLoss=0.0823 | ValLoss=0.1533
Fold2 Epoch26 | TrainAcc=97.32% | ValAcc=90.61% | TrainLoss=0.0823 | ValLoss=0.2690
Fold2 Epoch27 | TrainAcc=97.36% | ValAcc=94.16% | TrainLoss=0.0831 | ValLoss=0.1691
Fold2 Epoch28 | TrainAcc=97.37% | ValAcc=93.42% | TrainLoss=0.0798 | ValLoss=0.1923
Fold2 Epoch29 | TrainAcc=97.47% | ValAcc=93.33% | TrainLoss=0.0781 | ValLoss=0.1927
Fold2 Epoch30 | TrainAcc=97.48% | ValAcc=91.96% | TrainLoss=0.0802 | ValLoss=0.2405
Fold2 Epoch31 | TrainAcc=97.83% | ValAcc=94.74% | TrainLoss=0.0719 | ValLoss=0.1475
Fold2 Epoch32 | TrainAcc=97.86% | ValAcc=95.93% | TrainLoss=0.0685 | ValLoss=0.1178
Fold2 Epoch33 | TrainAcc=97.86% | ValAcc=95.90% | TrainLoss=0.0668 | ValLoss=0.1165
Fold2 Epoch34 | TrainAcc=98.01% | ValAcc=95.79% | TrainLoss=0.0659 | ValLoss=0.1213
Fold2 Epoch35 | TrainAcc=97.90% | ValAcc=95.97% | TrainLoss=0.0668 | ValLoss=0.1169
Fold2 Epoch36 | TrainAcc=97.96% | ValAcc=96.03% | TrainLoss=0.0656 | ValLoss=0.1164
Fold2 Epoch37 | TrainAcc=97.98% | ValAcc=96.11% | TrainLoss=0.0646 | ValLoss=0.1112
Fold2 Epoch38 | TrainAcc=98.02% | ValAcc=92.92% | TrainLoss=0.0659 | ValLoss=0.2093
Fold2 Epoch39 | TrainAcc=98.00% | ValAcc=94.48% | TrainLoss=0.0654 | ValLoss=0.1554
Fold2 Epoch40 | TrainAcc=98.09% | ValAcc=94.94% | TrainLoss=0.0638 | ValLoss=0.1418
Fold2 Epoch41 | TrainAcc=98.25% | ValAcc=96.26% | TrainLoss=0.0593 | ValLoss=0.1085
Fold2 Epoch42 | TrainAcc=98.25% | ValAcc=96.16% | TrainLoss=0.0599 | ValLoss=0.1128
Fold2 Epoch43 | TrainAcc=98.24% | ValAcc=95.94% | TrainLoss=0.0615 | ValLoss=0.1194
Fold2 Epoch44 | TrainAcc=98.22% | ValAcc=96.07% | TrainLoss=0.0574 | ValLoss=0.1149
Fold2 Epoch45 | TrainAcc=98.28% | ValAcc=96.41% | TrainLoss=0.0581 | ValLoss=0.1048
Fold2 Epoch46 | TrainAcc=98.22% | ValAcc=96.04% | TrainLoss=0.0622 | ValLoss=0.1106
Fold2 Epoch47 | TrainAcc=98.28% | ValAcc=94.85% | TrainLoss=0.0639 | ValLoss=0.1474
Fold2 Epoch48 | TrainAcc=98.30% | ValAcc=96.12% | TrainLoss=0.0583 | ValLoss=0.1115
Fold2 Epoch49 | TrainAcc=98.37% | ValAcc=95.37% | TrainLoss=0.0576 | ValLoss=0.1357
Fold2 Epoch50 | TrainAcc=98.37% | ValAcc=94.57% | TrainLoss=0.0571 | ValLoss=0.1543
Fold2 Epoch51 | TrainAcc=98.45% | ValAcc=96.13% | TrainLoss=0.0553 | ValLoss=0.1119
Fold2 Epoch52 | TrainAcc=98.41% | ValAcc=96.34% | TrainLoss=0.0532 | ValLoss=0.1071
Fold2 Epoch53 | TrainAcc=98.45% | ValAcc=96.38% | TrainLoss=0.0537 | ValLoss=0.1085
Fold2 Epoch54 | TrainAcc=98.43% | ValAcc=95.67% | TrainLoss=0.0541 | ValLoss=0.1214
Fold2 Epoch55 | TrainAcc=98.44% | ValAcc=96.17% | TrainLoss=0.0528 | ValLoss=0.1076
Fold 2 TestAcc=96.10%
Fold3 Epoch1 | TrainAcc=65.24% | ValAcc=38.64% | TrainLoss=1.1344 | ValLoss=1.9198
Fold3 Epoch2 | TrainAcc=85.04% | ValAcc=67.75% | TrainLoss=0.4662 | ValLoss=0.9662
Fold3 Epoch3 | TrainAcc=88.32% | ValAcc=36.48% | TrainLoss=0.3479 | ValLoss=3.1033
Fold3 Epoch4 | TrainAcc=89.97% | ValAcc=59.72% | TrainLoss=0.2930 | ValLoss=1.2845
Fold3 Epoch5 | TrainAcc=90.88% | ValAcc=44.26% | TrainLoss=0.2670 | ValLoss=2.5342
Fold3 Epoch6 | TrainAcc=91.68% | ValAcc=34.17% | TrainLoss=0.2429 | ValLoss=4.4237
Fold3 Epoch7 | TrainAcc=92.33% | ValAcc=73.75% | TrainLoss=0.2228 | ValLoss=0.7529
Fold3 Epoch8 | TrainAcc=92.89% | ValAcc=37.20% | TrainLoss=0.2056 | ValLoss=2.7120
Fold3 Epoch9 | TrainAcc=93.33% | ValAcc=88.54% | TrainLoss=0.1918 | ValLoss=0.3147
Fold3 Epoch10 | TrainAcc=93.79% | ValAcc=59.80% | TrainLoss=0.1817 | ValLoss=1.7182
Fold3 Epoch11 | TrainAcc=94.91% | ValAcc=87.16% | TrainLoss=0.1519 | ValLoss=0.3604
Fold3 Epoch12 | TrainAcc=95.23% | ValAcc=86.89% | TrainLoss=0.1424 | ValLoss=0.3629
Fold3 Epoch13 | TrainAcc=95.45% | ValAcc=50.82% | TrainLoss=0.1364 | ValLoss=2.5637
Fold3 Epoch14 | TrainAcc=95.47% | ValAcc=84.46% | TrainLoss=0.1337 | ValLoss=0.4316
Fold3 Epoch15 | TrainAcc=95.72% | ValAcc=80.99% | TrainLoss=0.1295 | ValLoss=0.5853
Fold3 Epoch16 | TrainAcc=95.77% | ValAcc=78.69% | TrainLoss=0.1256 | ValLoss=0.6507
Fold3 Epoch17 | TrainAcc=95.82% | ValAcc=80.88% | TrainLoss=0.1228 | ValLoss=0.6674
Fold3 Epoch18 | TrainAcc=96.06% | ValAcc=87.92% | TrainLoss=0.1171 | ValLoss=0.3612
Fold3 Epoch19 | TrainAcc=96.03% | ValAcc=91.71% | TrainLoss=0.1161 | ValLoss=0.2405
Fold3 Epoch20 | TrainAcc=96.19% | ValAcc=73.44% | TrainLoss=0.1121 | ValLoss=0.9024
Fold3 Epoch21 | TrainAcc=96.74% | ValAcc=87.43% | TrainLoss=0.1023 | ValLoss=0.3572
