=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-11-15_15-28-57
Total Classes: 20
SNR: 10 dB
fd (Doppler shift): 266.6666666666667 Hz
Epoch 13 | Train Loss: 0.3161 | Train Acc: 88.23% | Val Loss: 0.2534 | Val Acc: 90.50%
Epoch 14 | Train Loss: 0.3009 | Train Acc: 88.58% | Val Loss: 0.2550 | Val Acc: 90.77%
Epoch 15 | Train Loss: 0.2833 | Train Acc: 89.38% | Val Loss: 0.2519 | Val Acc: 90.63%
Epoch 16 | Train Loss: 0.2731 | Train Acc: 89.75% | Val Loss: 0.2478 | Val Acc: 90.91%
Epoch 17 | Train Loss: 0.2639 | Train Acc: 90.06% | Val Loss: 0.2504 | Val Acc: 90.87%
Epoch 18 | Train Loss: 0.2514 | Train Acc: 90.51% | Val Loss: 0.2309 | Val Acc: 91.44%
Epoch 19 | Train Loss: 0.2408 | Train Acc: 91.00% | Val Loss: 0.2338 | Val Acc: 91.45%
Epoch 20 | Train Loss: 0.2320 | Train Acc: 91.29% | Val Loss: 0.2301 | Val Acc: 91.58%
Epoch 21 | Train Loss: 0.2135 | Train Acc: 91.98% | Val Loss: 0.2231 | Val Acc: 92.00%
Epoch 22 | Train Loss: 0.2053 | Train Acc: 92.33% | Val Loss: 0.2288 | Val Acc: 91.79%
Epoch 23 | Train Loss: 0.1999 | Train Acc: 92.50% | Val Loss: 0.2277 | Val Acc: 91.88%
Epoch 24 | Train Loss: 0.1963 | Train Acc: 92.64% | Val Loss: 0.2255 | Val Acc: 92.03%
Epoch 25 | Train Loss: 0.1907 | Train Acc: 92.86% | Val Loss: 0.2320 | Val Acc: 91.87%
Epoch 26 | Train Loss: 0.1849 | Train Acc: 93.05% | Val Loss: 0.2218 | Val Acc: 92.13%
Epoch 27 | Train Loss: 0.1815 | Train Acc: 93.23% | Val Loss: 0.2208 | Val Acc: 92.16%
Epoch 28 | Train Loss: 0.1765 | Train Acc: 93.38% | Val Loss: 0.2235 | Val Acc: 92.31%
Epoch 29 | Train Loss: 0.1753 | Train Acc: 93.43% | Val Loss: 0.2218 | Val Acc: 92.25%
Epoch 30 | Train Loss: 0.1692 | Train Acc: 93.73% | Val Loss: 0.2247 | Val Acc: 92.11%
Epoch 31 | Train Loss: 0.1616 | Train Acc: 93.99% | Val Loss: 0.2200 | Val Acc: 92.36%
Epoch 32 | Train Loss: 0.1578 | Train Acc: 94.22% | Val Loss: 0.2233 | Val Acc: 92.36%
Epoch 33 | Train Loss: 0.1555 | Train Acc: 94.18% | Val Loss: 0.2232 | Val Acc: 92.39%
Epoch 34 | Train Loss: 0.1532 | Train Acc: 94.32% | Val Loss: 0.2231 | Val Acc: 92.43%
Epoch 35 | Train Loss: 0.1524 | Train Acc: 94.34% | Val Loss: 0.2198 | Val Acc: 92.44%
Epoch 36 | Train Loss: 0.1485 | Train Acc: 94.50% | Val Loss: 0.2255 | Val Acc: 92.38%
Epoch 37 | Train Loss: 0.1460 | Train Acc: 94.56% | Val Loss: 0.2267 | Val Acc: 92.42%
Epoch 38 | Train Loss: 0.1456 | Train Acc: 94.60% | Val Loss: 0.2236 | Val Acc: 92.44%
Epoch 39 | Train Loss: 0.1429 | Train Acc: 94.71% | Val Loss: 0.2231 | Val Acc: 92.45%
Epoch 40 | Train Loss: 0.1409 | Train Acc: 94.81% | Val Loss: 0.2245 | Val Acc: 92.54%
Epoch 41 | Train Loss: 0.1361 | Train Acc: 94.93% | Val Loss: 0.2237 | Val Acc: 92.46%
Epoch 42 | Train Loss: 0.1343 | Train Acc: 95.06% | Val Loss: 0.2245 | Val Acc: 92.50%
Epoch 43 | Train Loss: 0.1335 | Train Acc: 95.09% | Val Loss: 0.2246 | Val Acc: 92.60%
Epoch 44 | Train Loss: 0.1331 | Train Acc: 95.07% | Val Loss: 0.2250 | Val Acc: 92.52%
Epoch 45 | Train Loss: 0.1335 | Train Acc: 95.07% | Val Loss: 0.2262 | Val Acc: 92.53%
Epoch 1 | Train Loss: 3.0219 | Train Acc: 7.29% | Val Loss: 2.9669 | Val Acc: 9.55%
Epoch 2 | Train Loss: 2.9999 | Train Acc: 7.62% | Val Loss: 2.9595 | Val Acc: 9.55%
Epoch 3 | Train Loss: 2.9852 | Train Acc: 8.10% | Val Loss: 2.9613 | Val Acc: 9.55%
Epoch 4 | Train Loss: 2.9775 | Train Acc: 8.41% | Val Loss: 2.9581 | Val Acc: 9.55%
Epoch 5 | Train Loss: 2.1340 | Train Acc: 26.55% | Val Loss: 1.0965 | Val Acc: 56.75%
Epoch 6 | Train Loss: 0.9756 | Train Acc: 60.98% | Val Loss: 0.6051 | Val Acc: 73.86%
Epoch 7 | Train Loss: 0.6997 | Train Acc: 71.02% | Val Loss: 0.4737 | Val Acc: 80.41%
Epoch 8 | Train Loss: 0.5867 | Train Acc: 76.09% | Val Loss: 0.4302 | Val Acc: 82.72%
Epoch 9 | Train Loss: 0.5013 | Train Acc: 80.07% | Val Loss: 0.3537 | Val Acc: 85.99%
Epoch 10 | Train Loss: 0.4363 | Train Acc: 83.04% | Val Loss: 0.3168 | Val Acc: 87.80%
Epoch 11 | Train Loss: 0.3656 | Train Acc: 86.18% | Val Loss: 0.2864 | Val Acc: 89.09%
Epoch 12 | Train Loss: 0.3367 | Train Acc: 87.18% | Val Loss: 0.2807 | Val Acc: 89.56%
Epoch 13 | Train Loss: 0.3170 | Train Acc: 88.01% | Val Loss: 0.2634 | Val Acc: 90.13%
Epoch 14 | Train Loss: 0.2992 | Train Acc: 88.71% | Val Loss: 0.2676 | Val Acc: 89.94%
Epoch 15 | Train Loss: 0.2845 | Train Acc: 89.43% | Val Loss: 0.2628 | Val Acc: 90.34%
Epoch 16 | Train Loss: 0.2709 | Train Acc: 89.86% | Val Loss: 0.2478 | Val Acc: 90.87%
Epoch 17 | Train Loss: 0.2602 | Train Acc: 90.30% | Val Loss: 0.2628 | Val Acc: 90.38%
Epoch 18 | Train Loss: 0.2497 | Train Acc: 90.66% | Val Loss: 0.2439 | Val Acc: 91.02%
Epoch 19 | Train Loss: 0.2407 | Train Acc: 90.99% | Val Loss: 0.2403 | Val Acc: 91.17%
Epoch 20 | Train Loss: 0.2337 | Train Acc: 91.28% | Val Loss: 0.2428 | Val Acc: 91.27%
Epoch 21 | Train Loss: 0.2100 | Train Acc: 92.18% | Val Loss: 0.2379 | Val Acc: 91.40%
Epoch 22 | Train Loss: 0.2017 | Train Acc: 92.43% | Val Loss: 0.2370 | Val Acc: 91.48%
Epoch 23 | Train Loss: 0.1957 | Train Acc: 92.72% | Val Loss: 0.2372 | Val Acc: 91.53%
Epoch 24 | Train Loss: 0.1924 | Train Acc: 92.86% | Val Loss: 0.2371 | Val Acc: 91.56%
Epoch 25 | Train Loss: 0.1875 | Train Acc: 93.04% | Val Loss: 0.2331 | Val Acc: 91.60%
Epoch 26 | Train Loss: 0.1823 | Train Acc: 93.12% | Val Loss: 0.2322 | Val Acc: 91.74%
Epoch 27 | Train Loss: 0.1798 | Train Acc: 93.40% | Val Loss: 0.2360 | Val Acc: 91.60%
Epoch 28 | Train Loss: 0.1740 | Train Acc: 93.58% | Val Loss: 0.2298 | Val Acc: 91.81%
Epoch 29 | Train Loss: 0.1702 | Train Acc: 93.70% | Val Loss: 0.2281 | Val Acc: 91.92%
Epoch 30 | Train Loss: 0.1678 | Train Acc: 93.67% | Val Loss: 0.2343 | Val Acc: 91.92%
Epoch 31 | Train Loss: 0.1583 | Train Acc: 94.16% | Val Loss: 0.2291 | Val Acc: 92.00%
Epoch 32 | Train Loss: 0.1542 | Train Acc: 94.31% | Val Loss: 0.2324 | Val Acc: 91.94%
Epoch 33 | Train Loss: 0.1534 | Train Acc: 94.31% | Val Loss: 0.2288 | Val Acc: 91.98%
Epoch 34 | Train Loss: 0.1478 | Train Acc: 94.52% | Val Loss: 0.2330 | Val Acc: 92.06%
Epoch 35 | Train Loss: 0.1465 | Train Acc: 94.58% | Val Loss: 0.2303 | Val Acc: 91.96%
Epoch 36 | Train Loss: 0.1459 | Train Acc: 94.57% | Val Loss: 0.2340 | Val Acc: 91.96%
Epoch 37 | Train Loss: 0.1438 | Train Acc: 94.69% | Val Loss: 0.2339 | Val Acc: 92.04%
Epoch 38 | Train Loss: 0.1428 | Train Acc: 94.73% | Val Loss: 0.2321 | Val Acc: 92.08%
Epoch 39 | Train Loss: 0.1401 | Train Acc: 94.79% | Val Loss: 0.2368 | Val Acc: 91.96%
Epoch 1 | Train Loss: 3.0204 | Train Acc: 7.34% | Val Loss: 2.9660 | Val Acc: 9.44%
Epoch 2 | Train Loss: 2.9965 | Train Acc: 7.67% | Val Loss: 2.9677 | Val Acc: 9.44%
Epoch 3 | Train Loss: 2.9867 | Train Acc: 8.01% | Val Loss: 2.9718 | Val Acc: 9.44%
Epoch 4 | Train Loss: 2.9769 | Train Acc: 8.51% | Val Loss: 2.9610 | Val Acc: 9.44%
Epoch 5 | Train Loss: 1.8848 | Train Acc: 30.77% | Val Loss: 1.1530 | Val Acc: 52.40%
Epoch 6 | Train Loss: 1.0354 | Train Acc: 58.37% | Val Loss: 0.6976 | Val Acc: 70.28%
Epoch 7 | Train Loss: 0.7424 | Train Acc: 69.51% | Val Loss: 0.5303 | Val Acc: 77.51%
Epoch 8 | Train Loss: 0.6166 | Train Acc: 75.07% | Val Loss: 0.4317 | Val Acc: 82.57%
Epoch 9 | Train Loss: 0.5322 | Train Acc: 78.96% | Val Loss: 0.3831 | Val Acc: 84.66%
Epoch 10 | Train Loss: 0.4670 | Train Acc: 81.84% | Val Loss: 0.3413 | Val Acc: 86.69%
Epoch 11 | Train Loss: 0.3921 | Train Acc: 85.04% | Val Loss: 0.3049 | Val Acc: 88.25%
Epoch 12 | Train Loss: 0.3602 | Train Acc: 86.35% | Val Loss: 0.2901 | Val Acc: 89.24%
Epoch 13 | Train Loss: 0.3388 | Train Acc: 87.05% | Val Loss: 0.2726 | Val Acc: 89.44%
Epoch 14 | Train Loss: 0.3208 | Train Acc: 87.96% | Val Loss: 0.2676 | Val Acc: 90.04%
Epoch 15 | Train Loss: 0.3055 | Train Acc: 88.65% | Val Loss: 0.2679 | Val Acc: 90.10%
Epoch 16 | Train Loss: 0.2900 | Train Acc: 89.03% | Val Loss: 0.2504 | Val Acc: 90.67%
Epoch 17 | Train Loss: 0.2785 | Train Acc: 89.55% | Val Loss: 0.2552 | Val Acc: 90.52%
Epoch 18 | Train Loss: 0.2693 | Train Acc: 89.90% | Val Loss: 0.2520 | Val Acc: 90.63%
Epoch 19 | Train Loss: 0.2557 | Train Acc: 90.38% | Val Loss: 0.2399 | Val Acc: 91.17%
Epoch 20 | Train Loss: 0.2481 | Train Acc: 90.68% | Val Loss: 0.2466 | Val Acc: 90.92%
Epoch 21 | Train Loss: 0.2242 | Train Acc: 91.61% | Val Loss: 0.2321 | Val Acc: 91.57%
Epoch 22 | Train Loss: 0.2178 | Train Acc: 91.81% | Val Loss: 0.2287 | Val Acc: 91.57%
Epoch 23 | Train Loss: 0.2112 | Train Acc: 92.11% | Val Loss: 0.2346 | Val Acc: 91.56%
Epoch 24 | Train Loss: 0.2080 | Train Acc: 92.22% | Val Loss: 0.2299 | Val Acc: 91.70%
Epoch 25 | Train Loss: 0.2024 | Train Acc: 92.46% | Val Loss: 0.2323 | Val Acc: 91.62%
Epoch 26 | Train Loss: 0.1985 | Train Acc: 92.63% | Val Loss: 0.2280 | Val Acc: 91.76%
Epoch 27 | Train Loss: 0.1939 | Train Acc: 92.80% | Val Loss: 0.2316 | Val Acc: 91.83%
Epoch 28 | Train Loss: 0.1879 | Train Acc: 93.07% | Val Loss: 0.2313 | Val Acc: 91.84%
Epoch 29 | Train Loss: 0.1858 | Train Acc: 93.00% | Val Loss: 0.2369 | Val Acc: 91.77%
Epoch 30 | Train Loss: 0.1819 | Train Acc: 93.26% | Val Loss: 0.2332 | Val Acc: 91.91%
Epoch 31 | Train Loss: 0.1706 | Train Acc: 93.66% | Val Loss: 0.2269 | Val Acc: 92.10%
Epoch 32 | Train Loss: 0.1672 | Train Acc: 93.81% | Val Loss: 0.2314 | Val Acc: 92.04%
Epoch 33 | Train Loss: 0.1659 | Train Acc: 93.78% | Val Loss: 0.2273 | Val Acc: 92.16%
Epoch 34 | Train Loss: 0.1634 | Train Acc: 93.95% | Val Loss: 0.2274 | Val Acc: 92.16%
