=== Experiment Summary ===
Timestamp: 2025-08-19_22-37-10
Total Classes: 6
SNR: -5 dB
fd (Doppler shift): 960.0 Hz
equalized: 0
Epoch 1 | Train Acc: 26.80% | Val Acc: 32.13%
Epoch 2 | Train Acc: 33.71% | Val Acc: 36.00%
Epoch 3 | Train Acc: 35.50% | Val Acc: 37.64%
Epoch 4 | Train Acc: 36.31% | Val Acc: 38.58%
Epoch 5 | Train Acc: 37.14% | Val Acc: 37.41%
Epoch 6 | Train Acc: 38.06% | Val Acc: 38.32%
Epoch 7 | Train Acc: 38.57% | Val Acc: 38.78%
Epoch 8 | Train Acc: 38.97% | Val Acc: 39.01%
Epoch 9 | Train Acc: 39.10% | Val Acc: 39.51%
Epoch 10 | Train Acc: 39.17% | Val Acc: 40.09%
Epoch 11 | Train Acc: 39.79% | Val Acc: 39.26%
Epoch 12 | Train Acc: 39.71% | Val Acc: 39.02%
Epoch 13 | Train Acc: 39.80% | Val Acc: 39.94%
Epoch 14 | Train Acc: 39.96% | Val Acc: 38.75%
Epoch 15 | Train Acc: 40.03% | Val Acc: 41.05%
Epoch 16 | Train Acc: 40.04% | Val Acc: 39.33%
Epoch 17 | Train Acc: 40.24% | Val Acc: 39.49%
Epoch 18 | Train Acc: 40.37% | Val Acc: 40.28%
Epoch 19 | Train Acc: 40.26% | Val Acc: 41.23%
Epoch 20 | Train Acc: 40.41% | Val Acc: 41.71%
Epoch 21 | Train Acc: 40.74% | Val Acc: 41.58%
Epoch 22 | Train Acc: 40.80% | Val Acc: 40.99%
Epoch 23 | Train Acc: 40.75% | Val Acc: 41.33%
Epoch 24 | Train Acc: 40.87% | Val Acc: 41.86%
Epoch 25 | Train Acc: 41.05% | Val Acc: 41.64%
Epoch 26 | Train Acc: 40.97% | Val Acc: 41.70%
Epoch 27 | Train Acc: 41.10% | Val Acc: 42.30%
Epoch 28 | Train Acc: 41.08% | Val Acc: 41.06%
Epoch 29 | Train Acc: 41.11% | Val Acc: 41.63%
Epoch 30 | Train Acc: 41.10% | Val Acc: 41.92%
Epoch 31 | Train Acc: 41.24% | Val Acc: 41.87%
Epoch 32 | Train Acc: 41.26% | Val Acc: 41.98%
Epoch 33 | Train Acc: 41.30% | Val Acc: 42.13%
Epoch 34 | Train Acc: 41.37% | Val Acc: 41.99%
Epoch 35 | Train Acc: 41.25% | Val Acc: 41.97%
Epoch 36 | Train Acc: 41.45% | Val Acc: 41.89%
Epoch 37 | Train Acc: 41.36% | Val Acc: 41.89%
Epoch 38 | Train Acc: 41.45% | Val Acc: 42.19%
Epoch 39 | Train Acc: 41.43% | Val Acc: 41.64%
Epoch 40 | Train Acc: 41.56% | Val Acc: 42.34%
Epoch 41 | Train Acc: 41.57% | Val Acc: 42.09%
Epoch 42 | Train Acc: 41.61% | Val Acc: 41.79%
Epoch 43 | Train Acc: 41.54% | Val Acc: 42.28%
Epoch 44 | Train Acc: 41.78% | Val Acc: 41.98%
Epoch 45 | Train Acc: 41.61% | Val Acc: 42.09%
Epoch 46 | Train Acc: 41.58% | Val Acc: 42.24%
Epoch 47 | Train Acc: 41.65% | Val Acc: 42.22%
Epoch 48 | Train Acc: 41.72% | Val Acc: 42.42%
Epoch 49 | Train Acc: 41.70% | Val Acc: 42.36%
Epoch 50 | Train Acc: 41.68% | Val Acc: 42.15%
Epoch 51 | Train Acc: 41.82% | Val Acc: 42.25%
Epoch 52 | Train Acc: 41.73% | Val Acc: 42.35%
Epoch 53 | Train Acc: 41.63% | Val Acc: 42.26%
Epoch 54 | Train Acc: 41.80% | Val Acc: 42.26%
Fold 1 Test Accuracy: 40.64%
Epoch 1 | Train Acc: 26.41% | Val Acc: 34.80%
Epoch 2 | Train Acc: 34.89% | Val Acc: 37.46%
Epoch 3 | Train Acc: 36.92% | Val Acc: 38.62%
Epoch 4 | Train Acc: 37.81% | Val Acc: 38.88%
Epoch 5 | Train Acc: 38.49% | Val Acc: 39.54%
Epoch 6 | Train Acc: 38.93% | Val Acc: 39.19%
Epoch 7 | Train Acc: 39.28% | Val Acc: 39.79%
Epoch 8 | Train Acc: 39.52% | Val Acc: 39.51%
Epoch 9 | Train Acc: 39.60% | Val Acc: 40.31%
Epoch 10 | Train Acc: 39.97% | Val Acc: 40.08%
Epoch 11 | Train Acc: 40.19% | Val Acc: 39.93%
Epoch 12 | Train Acc: 40.43% | Val Acc: 40.66%
Epoch 13 | Train Acc: 40.54% | Val Acc: 41.39%
Epoch 14 | Train Acc: 40.49% | Val Acc: 40.69%
Epoch 15 | Train Acc: 40.58% | Val Acc: 41.05%
