=== Experiment Summary ===
Timestamp: 2025-11-16_12-56-43
Total Classes: 6
SNR: -5 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 26.60% | Val Acc: 32.62%
Epoch 2 | Train Acc: 34.31% | Val Acc: 37.30%
Epoch 3 | Train Acc: 36.31% | Val Acc: 37.37%
Epoch 4 | Train Acc: 37.42% | Val Acc: 38.72%
Epoch 5 | Train Acc: 38.27% | Val Acc: 39.49%
Epoch 6 | Train Acc: 38.97% | Val Acc: 39.51%
Epoch 7 | Train Acc: 39.08% | Val Acc: 39.91%
Epoch 8 | Train Acc: 39.47% | Val Acc: 38.23%
Epoch 9 | Train Acc: 39.43% | Val Acc: 40.16%
Epoch 10 | Train Acc: 39.68% | Val Acc: 40.49%
Epoch 11 | Train Acc: 40.07% | Val Acc: 40.47%
Epoch 12 | Train Acc: 40.06% | Val Acc: 40.36%
Epoch 13 | Train Acc: 40.39% | Val Acc: 40.86%
Epoch 14 | Train Acc: 40.43% | Val Acc: 40.58%
Epoch 15 | Train Acc: 40.46% | Val Acc: 41.19%
Epoch 16 | Train Acc: 40.55% | Val Acc: 40.50%
Epoch 17 | Train Acc: 40.60% | Val Acc: 40.14%
Epoch 18 | Train Acc: 40.72% | Val Acc: 41.35%
Epoch 19 | Train Acc: 40.81% | Val Acc: 41.68%
Epoch 20 | Train Acc: 40.93% | Val Acc: 41.66%
Epoch 21 | Train Acc: 41.02% | Val Acc: 41.49%
Epoch 22 | Train Acc: 41.20% | Val Acc: 41.91%
Epoch 23 | Train Acc: 41.22% | Val Acc: 41.92%
Epoch 24 | Train Acc: 41.19% | Val Acc: 41.67%
Epoch 25 | Train Acc: 41.31% | Val Acc: 41.51%
Epoch 26 | Train Acc: 41.39% | Val Acc: 40.99%
Epoch 27 | Train Acc: 41.36% | Val Acc: 41.90%
Epoch 28 | Train Acc: 41.36% | Val Acc: 41.76%
Epoch 29 | Train Acc: 41.50% | Val Acc: 41.92%
Epoch 30 | Train Acc: 41.43% | Val Acc: 41.84%
Epoch 31 | Train Acc: 41.59% | Val Acc: 42.00%
Epoch 32 | Train Acc: 41.53% | Val Acc: 41.48%
Epoch 33 | Train Acc: 41.61% | Val Acc: 41.87%
Epoch 34 | Train Acc: 41.72% | Val Acc: 42.13%
Epoch 35 | Train Acc: 41.65% | Val Acc: 41.95%
Epoch 36 | Train Acc: 41.76% | Val Acc: 41.85%
Epoch 37 | Train Acc: 41.70% | Val Acc: 41.98%
Epoch 38 | Train Acc: 41.70% | Val Acc: 42.24%
Epoch 39 | Train Acc: 41.82% | Val Acc: 41.44%
Epoch 40 | Train Acc: 41.79% | Val Acc: 42.28%
Epoch 41 | Train Acc: 41.72% | Val Acc: 42.38%
Epoch 42 | Train Acc: 41.88% | Val Acc: 42.17%
Epoch 43 | Train Acc: 41.84% | Val Acc: 42.11%
Epoch 44 | Train Acc: 41.97% | Val Acc: 41.44%
Epoch 45 | Train Acc: 41.92% | Val Acc: 41.81%
Epoch 46 | Train Acc: 41.89% | Val Acc: 42.04%
Epoch 47 | Train Acc: 41.89% | Val Acc: 42.15%
Epoch 48 | Train Acc: 41.81% | Val Acc: 42.32%
Fold 1 Test Accuracy: 41.80%
Epoch 1 | Train Acc: 27.22% | Val Acc: 33.50%
Epoch 2 | Train Acc: 34.89% | Val Acc: 37.26%
Epoch 3 | Train Acc: 36.46% | Val Acc: 37.90%
Epoch 4 | Train Acc: 37.17% | Val Acc: 38.42%
Epoch 5 | Train Acc: 38.16% | Val Acc: 39.43%
Epoch 6 | Train Acc: 38.77% | Val Acc: 39.31%
Epoch 7 | Train Acc: 39.12% | Val Acc: 38.94%
Epoch 8 | Train Acc: 39.49% | Val Acc: 38.95%
Epoch 9 | Train Acc: 39.42% | Val Acc: 39.73%
Epoch 10 | Train Acc: 39.73% | Val Acc: 39.66%
Epoch 11 | Train Acc: 40.12% | Val Acc: 40.30%
Epoch 12 | Train Acc: 40.22% | Val Acc: 41.18%
Epoch 13 | Train Acc: 40.41% | Val Acc: 40.42%
Epoch 14 | Train Acc: 40.50% | Val Acc: 40.77%
Epoch 15 | Train Acc: 40.52% | Val Acc: 41.23%
Epoch 16 | Train Acc: 40.65% | Val Acc: 40.79%
Epoch 17 | Train Acc: 40.75% | Val Acc: 40.10%
Epoch 18 | Train Acc: 40.75% | Val Acc: 41.38%
Epoch 19 | Train Acc: 40.84% | Val Acc: 40.70%
Epoch 20 | Train Acc: 41.01% | Val Acc: 41.84%
Epoch 21 | Train Acc: 41.29% | Val Acc: 41.18%
Epoch 22 | Train Acc: 41.31% | Val Acc: 41.81%
Epoch 23 | Train Acc: 41.45% | Val Acc: 42.16%
Epoch 24 | Train Acc: 41.36% | Val Acc: 41.57%
Epoch 25 | Train Acc: 41.44% | Val Acc: 41.57%
Epoch 26 | Train Acc: 41.33% | Val Acc: 42.10%
Epoch 27 | Train Acc: 41.57% | Val Acc: 41.99%
Epoch 28 | Train Acc: 41.45% | Val Acc: 41.67%
Epoch 29 | Train Acc: 41.57% | Val Acc: 42.21%
Epoch 30 | Train Acc: 41.59% | Val Acc: 42.40%
Epoch 31 | Train Acc: 41.84% | Val Acc: 41.76%
Epoch 32 | Train Acc: 41.79% | Val Acc: 41.79%
Epoch 33 | Train Acc: 41.74% | Val Acc: 42.56%
Epoch 34 | Train Acc: 41.90% | Val Acc: 42.01%
Epoch 35 | Train Acc: 41.97% | Val Acc: 42.18%
Epoch 36 | Train Acc: 41.80% | Val Acc: 42.24%
Epoch 37 | Train Acc: 41.79% | Val Acc: 41.96%
Epoch 38 | Train Acc: 41.89% | Val Acc: 42.37%
Epoch 39 | Train Acc: 41.97% | Val Acc: 42.43%
Epoch 40 | Train Acc: 41.87% | Val Acc: 42.61%
Epoch 41 | Train Acc: 41.98% | Val Acc: 42.01%
Epoch 42 | Train Acc: 41.98% | Val Acc: 42.40%
Epoch 43 | Train Acc: 41.96% | Val Acc: 42.45%
