=== Experiment Summary ===
Timestamp: 2025-08-17_18-41-28
Total Classes: 6
SNR: -5 dB
fd (Doppler shift): 960.0 Hz
equalized: 1 
Epoch 46 | Train Acc: 43.95% | Val Acc: 45.16%
Epoch 47 | Train Acc: 43.88% | Val Acc: 45.60%
Epoch 48 | Train Acc: 44.01% | Val Acc: 45.59%
Epoch 49 | Train Acc: 43.95% | Val Acc: 45.84%
Epoch 50 | Train Acc: 43.97% | Val Acc: 45.39%
Epoch 51 | Train Acc: 44.08% | Val Acc: 45.71%
Epoch 52 | Train Acc: 44.18% | Val Acc: 45.62%
Epoch 53 | Train Acc: 44.03% | Val Acc: 45.87%
Epoch 54 | Train Acc: 44.13% | Val Acc: 45.62%
Epoch 55 | Train Acc: 44.11% | Val Acc: 45.74%
Epoch 56 | Train Acc: 44.25% | Val Acc: 45.51%
Epoch 57 | Train Acc: 44.19% | Val Acc: 45.74%
Epoch 58 | Train Acc: 44.31% | Val Acc: 45.89%
Epoch 59 | Train Acc: 44.19% | Val Acc: 45.67%
Epoch 60 | Train Acc: 44.17% | Val Acc: 45.60%
Epoch 61 | Train Acc: 44.28% | Val Acc: 46.08%
Epoch 62 | Train Acc: 44.13% | Val Acc: 45.86%
Epoch 63 | Train Acc: 44.19% | Val Acc: 45.97%
Epoch 64 | Train Acc: 44.39% | Val Acc: 46.15%
Epoch 65 | Train Acc: 44.38% | Val Acc: 45.86%
Epoch 66 | Train Acc: 44.30% | Val Acc: 45.93%
Fold 2 Test Accuracy: 40.85%
Epoch 1 | Train Acc: 28.54% | Val Acc: 31.36%
Epoch 2 | Train Acc: 30.91% | Val Acc: 32.01%
Epoch 3 | Train Acc: 32.07% | Val Acc: 34.57%
Epoch 4 | Train Acc: 32.77% | Val Acc: 34.42%
Epoch 5 | Train Acc: 33.68% | Val Acc: 35.06%
Epoch 6 | Train Acc: 34.40% | Val Acc: 36.38%
Epoch 7 | Train Acc: 35.27% | Val Acc: 36.93%
Epoch 8 | Train Acc: 35.71% | Val Acc: 36.71%
Epoch 9 | Train Acc: 36.29% | Val Acc: 37.70%
Epoch 10 | Train Acc: 36.81% | Val Acc: 37.24%
Epoch 11 | Train Acc: 37.63% | Val Acc: 38.78%
Epoch 12 | Train Acc: 38.03% | Val Acc: 39.38%
Epoch 13 | Train Acc: 38.23% | Val Acc: 39.75%
Epoch 14 | Train Acc: 38.76% | Val Acc: 39.53%
Epoch 15 | Train Acc: 38.83% | Val Acc: 39.85%
Epoch 16 | Train Acc: 38.91% | Val Acc: 40.10%
Epoch 17 | Train Acc: 39.16% | Val Acc: 41.56%
Epoch 18 | Train Acc: 39.37% | Val Acc: 41.09%
Epoch 19 | Train Acc: 39.68% | Val Acc: 41.03%
Epoch 20 | Train Acc: 39.77% | Val Acc: 41.51%
Epoch 21 | Train Acc: 40.34% | Val Acc: 42.00%
Epoch 22 | Train Acc: 40.84% | Val Acc: 42.27%
Fold 3 Test Accuracy: 37.63%
Epoch 1 | Train Acc: 28.51% | Val Acc: 31.61%
Epoch 2 | Train Acc: 30.93% | Val Acc: 32.47%
Epoch 3 | Train Acc: 31.99% | Val Acc: 33.58%
Epoch 4 | Train Acc: 32.81% | Val Acc: 33.50%
Epoch 5 | Train Acc: 33.60% | Val Acc: 34.58%
Epoch 6 | Train Acc: 34.30% | Val Acc: 35.11%
Epoch 7 | Train Acc: 35.14% | Val Acc: 36.12%
Epoch 8 | Train Acc: 35.66% | Val Acc: 36.82%
Epoch 9 | Train Acc: 36.27% | Val Acc: 37.23%
Epoch 10 | Train Acc: 36.94% | Val Acc: 36.97%
Epoch 11 | Train Acc: 37.62% | Val Acc: 38.35%
Epoch 12 | Train Acc: 38.01% | Val Acc: 38.23%
Epoch 13 | Train Acc: 38.21% | Val Acc: 38.97%
Epoch 14 | Train Acc: 38.49% | Val Acc: 39.13%
Epoch 15 | Train Acc: 38.79% | Val Acc: 39.37%
Epoch 16 | Train Acc: 39.13% | Val Acc: 39.23%
Epoch 17 | Train Acc: 39.21% | Val Acc: 40.16%
Epoch 18 | Train Acc: 39.83% | Val Acc: 40.26%
Epoch 19 | Train Acc: 40.11% | Val Acc: 40.87%
Epoch 20 | Train Acc: 40.31% | Val Acc: 40.91%
Epoch 21 | Train Acc: 40.98% | Val Acc: 41.83%
Epoch 22 | Train Acc: 41.30% | Val Acc: 42.08%
Epoch 23 | Train Acc: 41.42% | Val Acc: 41.51%
Epoch 24 | Train Acc: 41.65% | Val Acc: 42.57%
Epoch 25 | Train Acc: 41.75% | Val Acc: 41.73%
Epoch 26 | Train Acc: 42.05% | Val Acc: 43.20%
Epoch 27 | Train Acc: 42.11% | Val Acc: 43.39%
Epoch 28 | Train Acc: 42.33% | Val Acc: 43.30%
Epoch 29 | Train Acc: 42.57% | Val Acc: 42.75%
Epoch 30 | Train Acc: 42.58% | Val Acc: 43.22%
Epoch 31 | Train Acc: 42.98% | Val Acc: 43.49%
Epoch 32 | Train Acc: 43.07% | Val Acc: 42.97%
Epoch 33 | Train Acc: 43.11% | Val Acc: 43.96%
Epoch 34 | Train Acc: 43.19% | Val Acc: 43.51%
Epoch 35 | Train Acc: 43.26% | Val Acc: 44.26%
Epoch 36 | Train Acc: 43.32% | Val Acc: 44.13%
Epoch 37 | Train Acc: 43.43% | Val Acc: 44.49%
Epoch 38 | Train Acc: 43.36% | Val Acc: 44.36%
Epoch 39 | Train Acc: 43.47% | Val Acc: 43.98%
Epoch 40 | Train Acc: 43.69% | Val Acc: 44.89%
Epoch 41 | Train Acc: 43.72% | Val Acc: 44.69%
Epoch 42 | Train Acc: 43.85% | Val Acc: 44.61%
Epoch 43 | Train Acc: 43.70% | Val Acc: 44.54%
Epoch 44 | Train Acc: 44.00% | Val Acc: 44.44%
Epoch 45 | Train Acc: 43.99% | Val Acc: 44.51%
Fold 4 Test Accuracy: 39.76%
Epoch 1 | Train Acc: 28.48% | Val Acc: 31.04%
Epoch 2 | Train Acc: 30.91% | Val Acc: 32.89%
Epoch 3 | Train Acc: 31.96% | Val Acc: 33.80%
Epoch 4 | Train Acc: 32.76% | Val Acc: 34.34%
Epoch 5 | Train Acc: 33.57% | Val Acc: 35.02%
Epoch 6 | Train Acc: 34.36% | Val Acc: 36.08%
Epoch 7 | Train Acc: 35.00% | Val Acc: 36.07%
Epoch 8 | Train Acc: 35.81% | Val Acc: 37.07%
Epoch 9 | Train Acc: 36.28% | Val Acc: 38.03%
Epoch 10 | Train Acc: 37.03% | Val Acc: 38.01%
Epoch 11 | Train Acc: 37.64% | Val Acc: 38.72%
Epoch 12 | Train Acc: 37.98% | Val Acc: 39.32%
Epoch 13 | Train Acc: 38.25% | Val Acc: 38.20%
Epoch 14 | Train Acc: 38.43% | Val Acc: 40.02%
Epoch 15 | Train Acc: 38.61% | Val Acc: 39.57%
Epoch 16 | Train Acc: 38.81% | Val Acc: 39.81%
Epoch 17 | Train Acc: 38.87% | Val Acc: 40.53%
Epoch 18 | Train Acc: 39.18% | Val Acc: 40.09%
Epoch 19 | Train Acc: 39.61% | Val Acc: 40.62%
Epoch 20 | Train Acc: 39.78% | Val Acc: 41.20%
Epoch 21 | Train Acc: 40.46% | Val Acc: 41.45%
Epoch 22 | Train Acc: 40.46% | Val Acc: 41.81%
Epoch 23 | Train Acc: 40.67% | Val Acc: 42.20%
Epoch 24 | Train Acc: 40.89% | Val Acc: 42.11%
Epoch 25 | Train Acc: 40.97% | Val Acc: 42.44%
Epoch 26 | Train Acc: 41.27% | Val Acc: 42.94%
Epoch 27 | Train Acc: 41.39% | Val Acc: 42.79%
Epoch 28 | Train Acc: 41.37% | Val Acc: 43.41%
Epoch 29 | Train Acc: 41.68% | Val Acc: 43.62%
Epoch 30 | Train Acc: 41.91% | Val Acc: 43.39%
Epoch 31 | Train Acc: 42.10% | Val Acc: 43.36%
Epoch 32 | Train Acc: 42.17% | Val Acc: 43.35%
Epoch 33 | Train Acc: 42.30% | Val Acc: 43.77%
Epoch 34 | Train Acc: 42.29% | Val Acc: 44.33%
Epoch 35 | Train Acc: 42.45% | Val Acc: 43.74%
Epoch 36 | Train Acc: 42.53% | Val Acc: 43.90%
Epoch 37 | Train Acc: 42.67% | Val Acc: 44.65%
Epoch 38 | Train Acc: 42.67% | Val Acc: 43.89%
Epoch 39 | Train Acc: 42.71% | Val Acc: 44.38%
Epoch 40 | Train Acc: 42.85% | Val Acc: 44.49%
Epoch 41 | Train Acc: 43.09% | Val Acc: 44.82%
